"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","COMM8210","Professional Communication and Conduct","Description: This course emphasizes professionalism as a key foundation for nursing practice in Canada, in order to provide safe, effective and ethical care. Professional standards such as communication, advocacy, conflict of interest, consent and privacy and confidentiality are reinforced.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","FPLT8140","Field Placement I (Enhanced Nursing Practice Gerontology and Chronic Illness)","Description: The student is provided with opportunities to build on their first clinical experience with added gerontology-based knowledge of theory and skills to continue to provide professional entry-level competencies for safe, competent, and ethical care. This clinical setting will support the integration of knowledge for individual planning, intervention, and evaluation to supports older adults through health programs that span across rehabilitation, restoration, and chronic/complex continuing care. The focus will be on chronic illness management, supports, and advancements in treatment options available to older adults and their family for individual functioning/ability, improved quality of life/well-being, and return/integration to the community. Hours: 85Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","HEAL1895","Gentle Persuasive Approaches (GPA)","Description: GPA Basics is an innovative, 4-module dementia-care curriculum based on a person-centred approach to care. The curriculum is evidence-based, interactive, and practical. The program guides participants to fully understand responsive behaviours, in order to be able to respond effectively and appropriately in a workplace setting. GPA Basics also includes respectful self-protective and gentle redirection techniques for use when catastrophic behaviours do occur.Hours: 8Credits: 1Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","NURS1445","Nursing Theory and Research","Description: This course will build upon previous knowledge of nursing theory and strengthen student's ability to apply nursing theories in a variety of health care contexts."
"7","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","NURS8587","Comprehensive Geriatric Assessment","Description: The student will examine the physical and cognitive challenges of an older adult, through gaining knowledge of a holistic comprehensive geriatric assessment and geriatric syndromes. Students will learn how to care for older adults and how to support their families through application of the nursing process, utilizing case studies to enhance learning.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","NURS8615","Professional Practice Applications in Seniors Care","Description: The role of the professional nurse will be examined utilizing simulation with standardized patients, application scenarios, and case based learning. The concepts of ageism and stereotyping related to older adults will be examined.Comprehensive geriatric assessments will focus on therapeutic communication, time management, priority setting, decision making/problem solving, and critical thinking. Students will gain a greater understanding of cultural and health origins of Canada's first people.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","NURS8686","Seniors Care in the Canadian Health Care System","Description: Students will gain a greater understanding of the role of the gerontological nurse and the interprofessional team when caring for seniors and their families in the Canadian health care system. Concepts of healthy aging and aging in society will be examined. Influences related to the role of the gerontological nurse will be discussed including individual and family care/relationships, cultural competencies, economic and legal issues, and documentation.Hours: 21Credits: 1Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Enhanced Professional Practice - Gerontology and Chronic Illness","https://www.conestogac.on.ca//fulltime/enhanced-professional-practice-gerontology-and-chronic-illness","NURS8725","Living With Chronic Illness","Description: This course will focus on older adults living with chronic illness. Students will examine the quality of life and well-being of seniors who live with chronic illnesses such as visual/auditory changes, bone and joint disorders, pain, diabetes, cardiac/respiratory disorders, stroke and Parkinson's disease. Promoting effective learning/communication, quality, and continuity of care within the health care continuum will be supported as students gain a greater understanding of community resources to support chronic illness and exacerbation as they occur.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
