"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","BUS8030","Event Planning","Description: This course will provide students with a top-down perspective of the event industry, including terminology, best practices and career opportunities. Classes will examine specific economic and infrastructure characteristics that influence each market sector, as well as more universally applicable areas such as risk management tactics, ethical standards and business protocol. Through the use of a variety of teaching methods, including case studies and guest speakers, students will be able to demonstrate the key differences, similarities and career opportunities within each sector, as well as understand the variety of influencing factors within the industry as a whole. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","BUS8050","Human Resources and Volunteer Management","Description: Staffing is integral to any events success. Throughout this course students will examine best practices for hiring, organizing, coordinating and managing people for varied events. Much can be achieved with the right team whether they are talented amateurs, enthusiastic volunteers or professional paid staff. Students will practice planning and implementing training programs for both professional and volunteer staff for a variety of events.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","BUS8060","Sponsorship and Fundraising","Description: This course discusses the strategies used for generating event revenue through fundraising and special event management in the not-for-profit sphere. The student will be introduced to the concept of sponsorship and the process of meeting organization and sponsor needs. Legislation affecting sponsor and donor relationships will be examined, as well as legislation affecting fund-raising ventures and alternative funding streams.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","HOSP8000","Food and Beverage Planning","Description: When it comes to the planning of food and beverage functions for events there are several key ingredients to include. While all aspects of a catered function are important, it is ultimately the quality of food, beverage and service that makes one of the deepest and most lasting impressions on attendees. Students will gain an appreciation of the expertise required to combine staffing, logistics, and venue atmosphere in order to create a recipe for success when it comes to special events.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","MKT1530","Event Marketing","Description: Students will learn about the relationship of events to the tourism industry, their economic impact & the effects of globalization. Using marketing skills developed in previous marketing courses, students will plan marketing strategies and create promotional material for a variety of events.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","OPER8100","Site Logistics I","Description: This course is an introduction to the variety of logistical elements that are required to run a successful program or event."
"10","Conestoga College Institute of Technology and Advanced Learning","Event Management","https://www.conestogac.on.ca//fulltime/event-management","Level 2","Level 2",NA
