"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","COMP1255","Computer Applications","Description: The student is introduced to the basics of computer operating systems and file management. The student will gain practical knowledge of various software applications such as:"
"4","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","FOOD1205","Food Safety - Level 1","Description: The Food Safety Course is designed to provide the student with general knowledge of food safety including food safety hazards, Good Manufacturing Practices and food safety systems, as well as basic knowledge of food plant security and of the impact of food manufacturing on the environment."
"6","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","FOOD1215","Food Processing I","Description: This course will give students an introduction to the Food Industry, and also cover principles of food science and food composition, basic processing methods, and food regulations."
"7","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","MATH1510","Applied Technical Mathematics I","Description: This course, when successfully completed, will provide an understanding of terminology, basic concepts and applications of fractions, ratio, proportion, percent, unit conversion, pre-algebra, and basic algebra in solving technical problems pertaining to Millwrighting."
"8","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","MILL1250","Machine Technology I","Description: To develop in the student knowledge of ferrous and non-ferrous metals, basic heat treatment procedures, knowledge and applications of power saws, grinders, and identify and select various types and qualities of fasteners used in the food processing industry.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","MILL1350","Workshop Practice","Description: This course will develop the student's knowledge of safety legislation, lock-out and isolation procedures, protective clothing and equipment, confined space procedures, housekeeping rules, fire, electrical and chemical hazards."
"10","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"11","Conestoga College Institute of Technology and Advanced Learning","Food Processing Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/food-processing-technician","Level 2","Level 2",NA
