"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","FOOD8020","Principles of Food Safety and Quality Assurance","Description: This course will introduce the student to food safety hazards, their negative impact on the food industry and the benefits of developing strong food safety control programs to assure safe food production. This course provides in-depth coverage of the fundamental concepts of food safety, Preventive Control Plans (PCP) and how they assist in controlling the likelihood of introducing food safety hazards to the food product through the work environment and operational practices. Students will be introduced to the knowledge and skills required to enable them to establish and implement PCP. This course will provide a strong foundation for the later studies in hazard analysis and critical control points (HACCP), and other globally recognized food safety management systems. This course provides in-depth coverage of food safety according to the Safe Food for Canadians Regulations (SFCR), Codex Alimentarius Basic Texts (WHO) and the Global Food Safety Initiative (GFSI). Students will be introduced to the resources necessary to enable them to customize Preventive Control Plans (PCP) to meet industry specific requirements and regulations and industry best practices. The learner will be introduced to the skills required to identify, document and communicate food safety responsibilities for different job categories and the need for involvement and interactions between departments in a food organization (i.e. production management, maintenance, engineering, sanitation, product development, quality control, marketing, sales, production employees).Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","FOOD8030","Food Chemistry","Description: This course will provide the learner with current understanding of the fundamental relationship between molecular structure and function for food proteins, carbohydrates, lipids and other food ingredients."
"6","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","FOOD8045","Food Microbiology","Description: This course combines lecture and hands on work in the laboratory and food manufacturing pilot plant facility. This course provides knowledge of the characteristics of common microorganisms of concern in the food industry, which will build a strong foundational knowledge to assist the students for later studies in conducting hazard analysis and risk assessments in developing HACCP plans. This course will also familiarize the learner with key information required to plan the design for construction of a food safety laboratory; purchase equipment; reagents and tools; develop documented procedures and microbiological food sampling plans for in-house testing for the food manufacturing industry. This course offers ample time for participants to develop the skills to become competent at a variety of microbiological food testing and environmental swabbing methods (e.g. Total Aerobic Plate Count, Coliform Plate Count, E. coli, ATP testing), which are commonly applied in an in-house food manufacturing lab. Participants will learn how to choose an independent accredited laboratory and how to send out food and swab samples for tests that are not performed in-house. Participants will become familiar with microbiological testing protocols to meet regulatory requirements and industry best practices for the food industry. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","FOOD8075","Canadian and International Food Safety Law and Regulations","Description: This course will provide the learners with tools useful for understanding food laws and regulations. The food laws of various countries and regions are studied, with particular emphasis on laws that apply in Canada, the U.S and Europe. Some of the topics cover current regulatory initiatives, the regulation of food safety, the impact of genetic modification or bio-engineering of food on regulations, rules about additives, liability for food fraud, food, labelling regulations and other issues of concernHours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","FOOD8160","Cleaning and Sanitation","Description: This course will give students an in-depth knowledge of effective Cleaning and Sanitation practices in the food and beverage manufacturing industry. Specific methods for determining soils and choosing the best chemical agents for treatment and elimination, main causes of environmental cleanliness failure and the science base for choosing the most effective ways to perform and evaluate sanitary conditions will be presented. Proper use of and safe handling of chemicals, along with overall safety in sanitation will be practiced throughout the course. Methods of detection and correction will be explored from both a practical and theoretical point of view. Students will be assigned sanitation tasks and will use the knowledge gained to test various cleaning agents and different techniques to determine their efficacy by means of on-site inspections, microbiological and ATP swabbing on actual food manufacturing lines. Assignments will include the creation of a Master Sanitation Schedule for the pilot plant and SSOPs for the equipmentHours: 41Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Food Safety and Quality Assurance - Food Processing","https://www.conestogac.on.ca//fulltime/food-safety-and-quality-assurance-food-processing","FOOD8055","Quality Assurance Management Systems","Description: This course will provide the students with practical knowledge and experience in food quality management systems."
