"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","ARTS1860","Creating the Story","Description: A strong story enriches the narrative in any experience, keeps the audience engaged, emotionally invested in the characters, and provides a foundation for the project. The methods used to visualize the story are unique to the medium and require a special approach."
"3","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DMED1480","Game Design","Description: From the earliest game of Pong to the latest Triple A release, you will study the influence of games from a historical perspective, their impact on the industry, and look toward future trends."
"6","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DMED1490","Sound Design for Gaming","Description: This course will introduce you to the technologies and techniques used in audio production relating to gaming applications. You will learn about sound fundamentals and theories including basic editing techniques, digital audio formatting, mixing, editing and working in online studios and workspaces, as well as game specific concepts such as multitrack music and SFX (special effects), looping and branching audio with primary migration, and application to mobile devices/environments."
"7","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DMED1525","Game Engine Lab I","Description: Building a game is complex and laborious and the overall management of this process within a game engine requires the study of production of a game across its lifespan."
"8","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DSGN1340","2D Asset Creation","Description: When developing games, it is often easier to show other developers' ideas and concepts instead of trying to describe them. This class will teach students game-focused techniques for the creation and integration of 2-dimensional art assets, employing various techniques to allow for the development of different styles, supporting a student's artistic vision.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","MDIA1080","Media Studies for Game Design","Description: An important element of designing games is an understanding of how past media was created to invoke specific feelings in their audiences. In looking back on former media efforts using both technical and artistic lenses, students will acquire tools to look at their own work critically, reflecting on style, technique, themes, emotions, and message.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DMED1540","Data Focused Game Design","Description: To produce the dynamic and engaging videogames, game designers need to handle large amounts of digital information. In Data Focused Game Design, students will learn how to generate, manage, and balance gameplay information and integrate it into their own designs. Students will also learn how to generate data from playtests and use it to influence the design of their games.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DMED2040","Interaction Design","Description: User experience design is one of the most critical facets of gaming today."
"13","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DMED2050","Game Engine Lab II","Description: Building off previous courses, game development concepts will be covered for both PC-oriented and embedded, or console-oriented gaming environments."
"14","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DSGN1420","3D Modelling and Texturing I","Description: Integrate 2D design with 3D construction to build digital sets, props, and characters for your games."
"15","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DSGN1450","Environment Constructs I","Description: Creating believable game environments contributes to the overall visual effect and storytelling process."
"16","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","DSGN1460","Game Studio I","Description: Studio courses are designed to provide you with the opportunity to work on projects that demonstrate the integration of skills and knowledge acquired from concurrent courses and emulate the real-world of work production pipeline."
"17","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"18","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","Level 3","Level 3",NA
"19","Conestoga College Institute of Technology and Advanced Learning","Game - Design","https://www.conestogac.on.ca/fulltime/game-design","CDEV1830","Career Success","Description: This course focuses on the skills needed to conduct a successful job search. Students will explore the labour market and identify trends that may impact their future careers. They will develop skills for an effective job search including networking, self-marketing documents and tools as well as interview skills. Mock interviews will provide the opportunity for practice, feedback and reflection as students prepare for future interviews. Students will develop a personalized job search plan to support their future careers. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
