"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","CDEV1840","Career Discovery","Description: This course focuses on career exploration and decision making. Students will evaluate their interests, values, skills and abilities through assessment tools and explore the labour market to identify employment trends aligned to their strengths."
"3","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","COMP1618","Computer Use in the Modern World","Description: Students will use Microsoft Office to create reports, electronic presentations, brochures, flyers, posters and create budgets."
"5","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","LIBS1540","Student Success for Higher Learning","Description: This course enables students to employ strategies and take advantage of resources and opportunities that will support their success in post-secondary environments. Students will identify their unique learning styles and develop strategies for achieving their academic, career and personal goals for reaching personal satisfaction. It provides a structured and supportive learning environment to help students define and develop the academic habits and skills for a successful transition to a Canadian post-secondary culture. The course will address the diverse issues facing students who are beginning their academic path in post-secondary studies. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","PHIL1000","Critical Thinking","Description: This course examines the essential elements of both critical and design thinking, through problem solving."
"8","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","MDIA1070","Information, Data and Current Events","Description: In this modern era, we are bombarded with fake news, post and alternative facts, and complex influences impacting the way we locate, consume and understand data and current events."
"10","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","RSCH1080","Portfolio Project","Description: In this unique course, students will develop a portfolio of their school work by applying the foundational knowledge obtained in their current courses. Specifically, students will locate a topic of exploration, develop a portfolio that will allow them to demonstrate their understanding of the project, document their own learning processes, and present their findings on their research. Through the development of their portfolio, students will be able to experiment with their approaches while reflecting on their understanding of the experience.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","SOC1140","Canada in the Future","Description: This course engages students' ability to abstractly conceptualize the future of Canada."
"12","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","Electives: Program Option
      
      Student must pass 1 Course(s), selected in the Student Portal from available course options","Electives: Program Option","Student must pass 1 Course(s), selected in the Student Portal from available course options"
"13","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","View Program Option Electives","View Program Option Electives",NA
"14","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","Please note that all courses may not be offered in all semesters.  Go to your student portal for full timetabling details under ""My Courses"".","Please note that all courses may not be offered in all semesters.","Go to your student portal for full timetabling details under ""My Courses""."
"15","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","COMM1835","Foundations in Presentation Skills","Description: This course will provide students an opportunity to develop and hone their presentation skills through a variety of practical scenarios. Students will begin to produce materials that will contribute to their personal portfolios. Both individual and group work will be utilized in the development of visual and verbal presentationsHours: 42Credits: 3Pre-Requisites: CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","MATH1095","Foundations in Math","Description: Students will learn and apply strategies, skills, concepts, procedures, and representational methods to solve problems in pre-algebra, algebra, and geometry/trigonometry relevant to a broad range of careers. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","General Arts and Science - One Year","https://www.conestogac.on.ca/fulltime/general-arts-and-science-one-year?v=2001","Electives: Program Discipline Option
      
      Student must pass 2 Course(s), selected in the Student Portal from available course optionsInterdisciplinary Elective Details","Electives: Program Discipline Option","Student must pass 2 Course(s), selected in the Student Portal from available course optionsInterdisciplinary Elective Details"
