"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","CARP1830","Safety, Materials and Tools Theory","Description: Students will develop knowledge of materials, tools and all safety-related methods used to carry out procedures in basic carpentry.Hours: 64Credits: 4Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","CARP1840","Safety, Materials and Tools Practice","Description: Students will demonstrate knowledge of materials, tools and all safety-related methods used to carry out procedures in basic carpentry.Hours: 104Credits: 5Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","DRWG1250","Plans, Specifications And Codes","Description: In this course, the apprentice obtains an understanding of the Ontario Building Code and the basics of blueprint reading and drafting.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","MATH1260","Estimating, Calculations And Layout","Description: This module will provide the apprentice with an understanding of basic mathematics involving trade related problems in both metric and imperial formats. The apprentice will learn to apply basic principles of geometry to construction layout problems.Hours: 32Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","WELD1255","Metal Cutting And Welding","Description: This course will introduce the student to the Oxyacetylene Cutting (OFC-A) and Shielded Metal Arc Welding (SMAW) process. The classroom component will reinforce the theoretical principles and safety aspects. The shop component will allow the student to learn and apply proper safety procedures and develop basic skills necessary for oxyacetylene cutting and SMAW welding on non-structural components.Hours: 16Credits: 1Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","Level 2","Level 2",NA
"8","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","CARP2210","Residential Construction Theory","Description: Students will develop knowledge and skill in the layout and construction of residential foundations, floors, walls, roof types, interior and exterior finish and other common methods used to carry out procedures in residential carpentry.Hours: 80Credits: 5Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","CARP2220","Residential Construction Practice","Description: Students will demonstrate knowledge and skill in the layout of foundations, layout and construction of floors, walls, roof types, interior/exterior finishes and other common methods used to carry out procedures in residential carpentry.Hours: 112Credits: 6Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","MATH2430","Residential Print Reading and Math","Description: In this course, students will demonstrate a knowledge of reading, interpreting, and estimating material quantities and costs based on specific residential plans and specifications.Hours: 48Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","Level 3","Level 3",NA
"12","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","CARP3020","Commercial Construction Theory","Description: In this course students will develop knowledge and skill in commercial site and building layout, building and installation of concrete forms, layout and construction of stairs, layout and installation of commercial interior finishes, and timber construction theory.Hours: 80Credits: 5Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","CARP3030","Commercial Construction Practice","Description: Students will demonstrate knowledge and skill in commercial site and building layout, building and installation of concrete forms, layout and construction of stairs, layout and installation of commercial interior finishes, and common practices used for timber framing.Hours: 112Credits: 6Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","General Carpenter (Apprenticeship)","https://www.conestogac.on.ca/fulltime/general-carpenter-apprenticeship","MATH3170","Commercial Print Reading and Math","Description: Using commercial plans and specifications, students will demonstrate knowledge of reading, interpreting and estimating quantities/costs.Hours: 48Credits: 3Pre-Requisites: CoRequisites:"
