"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","GRDN1065","Design History A","Description: This course is a survey of the origins, history and theory of graphic design through an examination of prominent movements and people. Design History A covers the time periods from ancient civilizations up to the 1900s. This course will introduce the terminology, historic references, and principles that have influenced design. The course will be delivered by faculty lectures, student presentations, and conferences and/or field trips, and special events.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","GRDN1080","Illustration 1","Description: This course establishes the fundamentals of illustration skills through experimentation with a variety of traditional and digital media, in-class lectures, critiques, and rendering tools and techniques. Projects focus on experimentation of illustration skills and specific reference to contemporary illustrators.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","GRDN1105","Design Tools and Practices 1","Description: This course introduces students to methods, terminology, materials and studio techniques used in layouts and print production. Attention is given to the introduction and development of basic technical and mechanical skills for print production. Students are introduced to planning tools and a sound production process for multi-page layouts.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","GRDN1120","Typography 1-A","Description: This course introduces key terms and concepts related to typographic form and communication. Emphasis is placed on type as form to communicate, history of letterforms, typographic vocabulary, hierarchy of information, legibility and readability, and letterform spacing using traditional and digital media. Students are introduced to typographic conventions and systems through a series of lectures, assignments, and projects.Hours: 56Credits: 4Pre-Requisites: CoRequisites: GRDN1165"
"8","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","GRDN1165","Design Studio 1-A","Description: This course develops an awareness of visual literacy through the study of syntactical guidelines, basic design elements and principles, and techniques. Students will develop layout skills that combine typography with photographic images and drawings. Students develop an awareness of visual literacy in relation to composition through a series of assignments and projects. Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","Electives: General Education
      
      Student must complete a minimum of 42 HoursInterdisciplinary Elective Details","Electives: General Education","Student must complete a minimum of 42 HoursInterdisciplinary Elective Details"
"10","Conestoga College Institute of Technology and Advanced Learning","Graphic Design","https://www.conestogac.on.ca/fulltime/graphic-design","Level 2","Level 2",NA
