"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","COMM8280","Technical Writing and Communications","Description: This course will focus on the creation of professional technical reports. Students will learn how to communicate scientific and technical information concisely and accurately using appropriate formats and graphical support. Students will apply technical communication theory and practice to create, critique, and present technical documents. An oral project presentation will emphasize clear and concise communication of technical details and the use of appropriate visual support for technical information.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","COMP8040","Using Microsoft Word in the Healthcare Environments","Description: This course will provide technical and critical thinking skills in using Microsoft Word and its applications in the Healthcare office. Students will have an opportunity to create, save, and manage a variety of documents, including professional-looking letters, clinical forms, and information flyers. Students will also learn how to use advanced formatting tools, mail merge tools,"
"4","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","COMP8050","Using Microsoft Excel in the Healthcare Environments","Description: This course will provide technical and critical thinking skills in using Microsoft Excel and its applications in the Healthcare office. Students will have an opportunity to create, save, and manage a variety of workbooks, including professional-looking spreadsheets, databases, charts, and a variety of Excel tables. Students will also learn how to analyze data, use advanced formulas and functions, create and edit charts, and work with tables using the appropriate tools. Microsoft PowerPoint will be integrated into the course, and a keyboarding component will provide the opportunity to build on keyboarding skills.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","HEAL8130","Health and Social Service Systems in Canada","Description: The present Ontario and Canadian health & social service system is in a constant state of change."
"7","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","HIM8010","Health Information Management Fundamentals","Description: The health information management (HIM) role is vital in a health care setting."
"8","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","MGMT8760","Management and Leadership Essentials","Description: In this course, students will enhance their understanding of leadership and management approaches in Canadian organizations. Emphasis on developing effective management strategies including, professional communication, planning, decision making, conflict resolution, effective team building and navigating change. Key concepts include professionalism, adaptability, boundaries and resourcefulness.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","COMM8130","Communications for Effective Health Care Administration","Description: Effective communications skills are paramount in a health care environment. Students will utilize various methodologies in order to reinforce the strategic and operational goals of an organization. Various tools and technologies will be explored to maximize operational efficiencies to support successful stakeholder interaction.Hours: 84Credits: 6Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","FIN8230","Financial Practices for Health Care Organizations","Description: Key to health care administration and service management is knowledge of financial documentation and best practices."
"12","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","HEAL8140","Project Leadership in Health Care","Description: Standard project management practices and their application and adoption greatly impact the success of health sector projects. In this course, leadership components of project management are emphasized, with particular attention to engagement of project sponsors, project risk management, and interaction with critical stakeholders.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","OPER8090","Health Care Operations Management","Description: Managerial decision-making on operational effectiveness includes the many challenges faced by front line managers."
"14","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","QUAL8170","Quality, Strategy and Value Creation Fundamentals","Description: Students will be introduced to the fundamentals and guiding principles of organizational continuous improvement methodologies."
"15","Conestoga College Institute of Technology and Advanced Learning","Health Care Administration and Service Management","https://www.conestogac.on.ca//fulltime/health-care-administration-and-service-management","Level 3","Level 3",NA
