"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","BUS1100","Business Practice","Description: This course provides students with a basic understanding of business operation and the basic skills and knowledge required to own and operate heavy equipment. Forms of business, financial methods, machine ownership, machine operating costs, and heavy construction economics are covered.Hours: 15Credits: 1Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","COMP1280","Computer Applications","Description: This course will introduce students to the use of word processing and spreadsheet software, as well as, operating systems and the Web to produce technical documents.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","MATH1830","Applied Mathematics","Description: This course is an applied mathematics course enabling the student to utilize arithmetic, algebra, trigonometry and geometry to solve technically oriented problems. This course is designed to develop a proficiency in mathematics necessary for subsequent courses in the Motive Power trades. The course covers both vocational (job oriented) and generic skills (written, analytical and problem-solving).Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","MOTV1155","Compact and Heavy Equipment Construction Techniques I","Description: This course provides students with the skills and knowledge to start up, shut down and operate common construction, compact and handheld power equipment such as: skid steers, compaction equipment, power cutting saws and the Tractor Loader Backhoe (TLB). Operations will include: compacting disturbed material, backfilling trenches, stacking pallets, cutting of materials, hoisting and locating utilities. Students will work in teams to contribute to an effective and safe workplace.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","MOTV1300","Introduction & Safety","Description: The student will be given an overview of Heavy Equipment operation and safety including personal protective equipment, safe operating practices, hand signals, basic rigging, loading of equipment and relevant legislation.Hours: 26Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","MOTV1355","Heavy Construction Safety","Description: Students will review safe working practices, housekeeping, hazard awareness, the use of personal protective equipment, safety legislation and regulations, WHMIS.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Heavy Construction Equipment Operation","https://www.conestogac.on.ca/fulltime/heavy-construction-equipment-operation","MOTV1390","Environmental Practices","Description: In this course environmental practices and procedures are covered in relation to the heavy construction trade. Relevant legislation, policies and ethical considerations are reviewed.Hours: 15Credits: 1Pre-Requisites: CoRequisites:"
