"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","TRCK1010","Trade Practices","Description: Demonstrate a basic working knowledge of recommended trade work practices; construction, operating principles, testing and servicing of tools and equipment, bearings, seals and sealants, fasteners, precision measuring equipment, personal safety and legalities, setup and safety for oxy-acetylene cutting and heating.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","TRCK1020","Fluid Power Systems","Description: Demonstrate a basic knowledge of fluid power fundamentals, components, graphic symbols and principles of operation. Demonstrate a basic knowledge of fluids, filters, conductors and connectors and setting up a proper maintenance schedule.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","TRCK1030","Engine Systems","Description: Demonstrate a basic knowledge of the construction, engine types and components, operating principles, testing and servicing of diesel combustion engine assemblies, cylinder heads and valve trains, lubrication systems, cooling systems, intake and exhaust systems.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","TRCK1040","Electrical Systems","Description: Demonstrate a basic working knowledge of the principles of electrical theory and laws, and use of electrical test equipment. Demonstrate an ability to trace, test and repair electrical circuits and components. Demonstrate a basic knowledge of electromagnetic devices and test and service batteries.Hours: 49Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","TRCK1050","Fuel Systems","Description: Demonstrate a basic knowledge of diesel fuel systems, injection principles, injection sub-systems and hydraulic injection systems.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","TRCK1060","Drive Train Systems","Description: Demonstrate a basic knowledge of the construction, operating principles; testing and servicing of power train clutch assemblies, gearing fundamentals, countershaft manual transmissions, driveshafts, PTO's, universal joints and single drive axle assemblies.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","TRCK1075","Wheel End Assemblies and Brake Systems","Description: Demonstrate a basic working knowledge of the construction, operating principles, testing and servicing of hydraulic brake and air brake systems, and wheel end assemblies.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Heavy Duty Equipment Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/heavy-duty-equipment-technician-apprenticeship","MOTV2110","Trade Practices II","Description: This course is designed to enable the student to perform heating and cutting activities following manufacturers' recommendations, government regulations, and safe work practices. The student is able to describe heating and ventilation system testing and repair procedures following manufacturers' recommendations, government regulations, and safe work practices. The student is able to describe air conditioning system testing and repair procedures following manufacturers' recommendations, government regulations, and safe work practices. The student is able to identify unsafe/faulty operator protection devices following manufacturers' recommended practices and government regulations.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
