"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","INFO1265","User Experience","Description: Because of the proliferation of different types of devices, the growing range of digital user interface technologies, and the increasingly competitive nature of the software industry, high-tech companies have come to understand the growing importance of the User Experience, and to value skilled professionals in this area. Thus, students are introduced to best current practices in interactive design, and will solve a series of design problems which draw on different types of devices and varying types of navigation controls, as applied to business and commercial applications. Students will consider competition, target markets, business models and technical challenges in order to gather requirements ,"
"5","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","MATH1910","Mathematics for Information Technology I","Description: The purpose of the course is to provide students with a sound mathematical foundation for logical reasoning and problem solving. The course stresses computer and business applications using equations, logic, sets, vectors, and data structures. The course includes applications such as cost-volume-profit analysis. The course is designed for IT students to help them translate everyday real world scenarios into mathematical concepts they can solve with computer systems and applications.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG1245","Programming: Web Foundations","Description: In this course, students develop the skills needed to build static web sites."
"7","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG1781","Programming Concepts I","Description: Software development programs depend on a strong foundation in programming concepts and logic. In order to develop programs that solve business problems, the student will use the programming concepts of data types, looping, decision making, modifying strings and arrays. Particular attention will be paid to problem solving techniques using flowcharting to design the logic of the program. The student will be introduced to techniques of desk checking, testing and debugging.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","INFO1380","Technology Infrastructure:","Networking"
"10","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","MATH1920","Mathematics for Information Technology II","Description: The purpose of the course is to provide the student with a mathematical basis for personal and business financial decisions, and mathematics of computer applications."
"11","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG1800","Programming Dynamic Websites","Description: Recommended: PROG1080 Programming Fundamentals or equivalent knowledge.This course introduces the student to web-based applications development using browser based development tools. The students will program both client and server-side scripting inside of HTML forms. Hours: 56Credits: 4Pre-Requisites: PROG1245, PROG1781CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG1815","Programming Concepts II","Description: This course bulids on the fundamental logic skills of Programming Concepts I, and adds conceptual skills in order to develop software applications according to current best industry practices. The student will do assignments making use of Graphical User Interfaces (GUI) to create a higher level of interactivity, and will employ the ""object"" concept - classes, objects, data-hiding, inheritance, polymorphism - in order to promote better system modelling, modularity, and reusablity."
"13","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG1825","Introduction to Data Modelling","Description: This course introduces the student to the concepts of database management. The student will learn how to design and develop database applications. The course will introduce the following topics: data types, table relationships, data normalization, entity relationship diagrams, table navigation and data entry control. Hours: 42Credits: 3Pre-Requisites: PROG1781CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"15","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","Level 3","Level 3",NA
"16","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","GRDN2200","Graphic Techniques for Illustration","Description: Today, software designers and front-end programmers need graphic design skills in order to understand the aesthetics of software and website design, to make interfaces usable, friendly and commercially viable, as well as to develop graphic components, such as logos, clickable graphic elements, and wallpapers to be incorporated into the interface. To this end, students are given hands-on assignments employing professional graphics tools, to study layout, typography, line, texture, drawing and colour.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","INFO2320","Systems Analysis and Design","Description: Upon completion of this course, the student will understand the Systems Development Life Cycle and the Object-Oriented Design methodology using the Unified Modeling Language (UML). An object-oriented approach will be applied to a business system case study utilizing a Computer Assisted Systems Engineering tool to analyze the systems requirements and then to use the tool to design a proposed solution from those requirements. Emphasis will be placed on typical industry practices, documentation and presentation skills in a team environmentHours: 70Credits: 5Pre-Requisites: PROG1825, PROG1815CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG2230","Programming: Microsoft Web Technologies","Description: This course teaches students how to develop web applications using ASP.NET."
"19","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG2370","Game Programming with Data Structures","Description: This course teaches object oriented C# programming through the creation of computer games."
"20","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","Level 4","Level 4",NA
"21","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","GRDN2000","Graphic Techniques for Software Design","Description: Students will be introduced to the fundamentals of layout, text and colour, in order to promote the usability and commercial viability of web sites and software applications. Graphics tools will be used to develop logos and commercial graphics as well as to storyboard software and computer games. Students will receive an overview of the various types of digital media, as well as the principles of integrating these into software applications and web sites. Hours: 42Credits: 3Pre-Requisites: PROG1781 or PROG1783CoRequisites:"
"22","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG2220","Database: S.Q.L.","Description: Recommended: COMP1120 Access or equivalent knowledge."
"23","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG2240","Programming: JAVA Web Technologies","Description: This course teaches the student to build Web applications using the Java development environment."
"24","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG2400","Software Quality and Usability","Description: Quality is a concept that pervades all levels of any production process, and especially software development. In this course, students do assignments on varying levels in order to learn code and acceptance testing techniques, incorporating quality into the software development process, usability testing and customer service. Hours: 42Credits: 3Pre-Requisites: INFO1265CoRequisites:"
"25","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG2430","Programming Mobile Applications I","Description: This course teaches the student to build mobile applications using the current industry practices and tools. The student will learn client-side smart device development including offline data access, testing, debugging, security, deployment and exception handling. Students will be exposed to writing mobile client software that runs on popular mobile devices.Hours: 56Credits: 4Pre-Requisites: PROG1825, PROG1800CoRequisites:"
"26","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PSYC2030","Psychology for Software Design","Description: The field of User Experience (UX) Design has come to embrace the need to use psychological skills in order to understand the needs of users, and the sometimes complex way they interact with software, web sites and other systems. Students study topics in cognitive psychology, human research methodologies, research ethics and organizational behavior in order to develop requirements gathering skills, and User Interface (UI) design skills."
"27","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","Level 5","Level 5",NA
"28","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","BUS3140","IT Entrepreneurship","Description: Students will investigate venture capital firms, government programs and local agencies oriented toward the startup of new IT companies. The principles of evaluating an IT product, service or technology for production will be discussed. Students will be required to develop and present a business plan for a new commercial initiativeHours: 42Credits: 3Pre-Requisites: MATH1920CoRequisites:"
"29","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","INFO3130","The Emerging Interface","Description: User interfaces for software and web sites often present the point of first contact, or the ""face"", of a business. As a result, new techniques are constantly being developed to improve the look and feel, the usability, and the ease of development of such interfaces. In this course, students study current technologies and best practices of front-end development, as well as research emerging trends in the field.Hours: 42Credits: 3Pre-Requisites: GRDN2000CoRequisites:"
"30","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","MKT3135","Marketing for the Information Technology Industry","Description: This course builds on the Market Research course in order to develop the skills to determine the position, or niche, for an organization to target, and to be perceived as targeting."
"31","Conestoga College Institute of Technology and Advanced Learning","IT Innovation and Design (Optional Co-op)","https://www.conestogac.on.ca//fulltime/it-innovation-and-design","PROG2410","Digital Motion and Sound","Description: Increasingly, developments in computer technology and digital media are permitting wider use of video, graphics and sound to enhance the user experience of web sites, software and online tutorials. In this course, students receive an introduction to creating these components, they learn what factors will influence their success, and they learn to incorporate them in software and web sites. Hours: 56Credits: 4Pre-Requisites: PROG1800, GRDN2000CoRequisites:"
