"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","COMP8200","Software Integration","Description: Applications, toolsets, frameworks, and architecture will be reviewed to ensure a foundational level of knowledge that will be built on; recognition of the various needs of a business and how/where these items are implemented are an integral part."
"3","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","INFO8360","Introduction to Information Systems","Description: The importance of Information Systems to the success of a business and how these systems create value is presented from “the 1000 ft viewpoint”. A structured overview of the program and a clear perspective to the line of work that the students can expect to find as an IT Business Analyst are discussed. Through common case studies across the courses in the program students will connect their newly acquired skills with the IT Business Analyst scope of work.Hours: 48Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","MGMT8490","Introduction to Information Technology Project Management","Description: This course provides the practical and theoretical knowledge to start, plan, execute, monitor and control, and complete an information technology (IT) project successfully. You will explore the role and integration of project management within an organization, and its value to a business and the field of information technology. You will examine the application of project management frameworks and methodologies according to the Project Management Body of Knowledge (PMBOK) and the integration of information technology solution practices. You will explore the use of project management knowledge, processes, and tools and techniques in plan-driven, change-driven, or hybrid driven project environments. You will learn about the responsibilities, competencies, and interpersonal skills required of project management professionals, with an emphasis on information technology practitioners. You will learn about and contribute to building and being part of a high performance team. As part of a simulated project environment for the course, you will be required to function as a member of a project team throughout the life cycle of a project. An overview of Microsoft Project will be covered, along with other collaborative project management software tools used in today's project environments. This course will be of particular interest to those students who wish to pursue certification through the Project Management Institute (PMI).Hours: 48Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","Level 2","Level 2",NA
"7","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","INFO8350","User Interface and User eXperience Design (UI & UXD)","Description: Customer Engagement Management has evolved with industry to recognize the need and importance of intuitive system design that recognizes both user and business requirements. Currently IT development projects still face significant resistance and failure rates stemming from the inability of organizations to readily identify and address customer needs in a timely and effective manner. Through this course students will be provided the opportunity to engage in hands-on activities that will allow them to further their understanding of how requirements are collected, distilled and processed into functional requirements for IT projects and application design. Students will apply this understanding through proven user experience design techniques and methodologies to create clear, intuitive interfaces and system designsHours: 48Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","INFO8375","SQL and Data Analysis","Description: Identification of relevant metric points and how to gather, manipulate, format, and present data as valuable information to the end-user is essential to modern business operations. The course will give students an opportunity to perform data analysis using EXCEL and SQL at an intermediate level with a primary focus on enterprise SQL systems. Students will explore the structure of databases, data and how to properly leverage datasets"
"9","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","INFO8395","Requirements Modeling and Visualization","Description: This course will be a journey through Business Capability Modelling addressing the manipulation, modification and presentation of information that can by synthesized into knowledge. Mapping and modeling activities are performed using various techniques with an emphasis on business need, quality principles and organizational management. Students are engaged through developing hands-on skills by conducting such activities as; identifying relevant data, defining KPIs and creating metric visualizations for the proper presentation of value-add information. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Information Technology Business Analysis - Operations","https://www.conestogac.on.ca//fulltime/information-technology-business-analysis-operations","INFO8405","Business Processes Analysis","Description: The ability to analyze processes within a business, technical and/or manufacturing environment(s) utilizing proper standards and industry recognized methodologies is a fundamental skill for the business analysis field. The key focus will be to analyze, enhance, and promote change to processes in order to increase process effectiveness, timeliness or reduce costs while mitigating risks. A variety of case studies will be used to practice this skill set, including common case studies from previous courses.Hours: 64Credits: 4Pre-Requisites: CoRequisites:"
