"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","INFO8005","Network Infrastructure I","Description: In this course, students will gain fundamental skills in the deployment and configuration of network equipment and protocols to support a LAN environment. Network design principles in the areas of IP addressing and VLANs will be covered. By the end of this course, students will be able to configure switches and routers to build a basic business network both physically and virtually.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","INFO8015","Windows Server Administration I","Description: In this course, students will gain core knowledge and skills required to successfully install, configure, troubleshoot and secure a Windows Server operating system. Basic operating system parameters, remote administration, and core server operating system services including Active Directory will be configured to meet defined business requirements. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","INFO8025","Information Technology Automation","Description: Automation of operations is extremely important in today's IT environment. IT organizations want their valuable staff performing value added work rather than repeating routing tasks. This course provides a practical introduction to programming and scripting techniques that are often used in IT automation.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","SYST8000","Computer Hardware","Description: Participants in this course will gain a fundamental knowledge of desktop and server computer hardware components, as well as their installation, operation, maintenance and repair. By understanding the interaction between hardware and software, students will also learn how to specify desktop, mobile and server systems to meet defined business needs.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","SYST8010","Operating Systems I","Description: This course is designed to provide students with comprehensive skills to manage Windows end user operating systems and Linux. Operating systems components and security will be covered, as well as practical troubleshooting, deployment, configuration and customization. Students will also develop skills to interact with clients and design appropriate configurations to meet requirements dictated by business requirements.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","SYST8020","Virtualization I","Description: This course is designed to enable students to deploy and configure desktop and basic private cloud virtualization environments. Configuration of compute, network and storage resources will be covered, as well as deployment and configuration of virtual machines.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","INFO8035","Network Infrastructure II","Description: This course builds on Network Infrastructure foundations with the introduction of advanced routing protocols and techniques, high availability and network scaling. WAN and WLAN technologies will be covered allowing students to build more complex and complete enterprise networks.Hours: 56Credits: 4Pre-Requisites: INFO8005CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","INFO8045","Windows Server Administration II","Description: This course builds on Server Administration Foundations by covering more advanced capabilities included in Windows Server operating systems. Security practices and techniques including policy design and enforcement, patch management and advanced directory services will be employed to harden Windows. Automation of common tasks performed on Windows Server is covered. Design and hands on configuration to meet the requirements of typical enterprise networks is once again emphasized.Hours: 56Credits: 4Pre-Requisites: INFO8015, SYST8020CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","INFO8055","Network Infrastructure Service Administration","Description: This course is designed to enable students to deploy and configure common network infrastructure services such as DHCP, DNS, and web services. Students will employ standard practices to configure"
"13","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","MGMT8680","Information Technology Operations and Project Management","Description: IT organizations execute practices based on defined processes to ensure consistent service delivery. Projects must be planned and implemented in a well-organized manner to maximize success. This course introduces structured IT operations through ITIL, the most commonly used system in IT management. As well, students will learn how to manage an IT project from concept to conclusion using industry standard project management techniques.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","SYST8050","Linux Administration","Description: In this course, students will gain core knowledge and skills required to successfully install, configure, troubleshoot and secure a Linux operating system. Basic operating system parameters, remote administration, and core server operating system services will be configured to meet defined business requirements.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Information Technology Infrastructure","https://www.conestogac.on.ca//fulltime/information-technology-infrastructure","SYST8060","Virtualization II","Description: This course builds on Virtualization Foundations with the introduction of advanced concepts and techniques, including automation, to create a highly resilient virtual environment using both private and public cloud resources. Students will secure the virtual infrastructure through deployment of high availability and load balancing clusters, and patch deployment.Hours: 42Credits: 3Pre-Requisites: INFO8005, SYST8020CoRequisites:"
