"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8160","Fundamentals of Information Security","Description: This course will cover the three basic tenets that are at the foundation of modern information security practices: confidentiality, integrity, and availability."
"4","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8460","Windows Infrastructure and Security","Description: Best practice approaches for hardening Windows-based infrastructure will be explored in this course, with students gaining the skills to apply these methodologies."
"5","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8470","Linux Infrastructure and Security","Description: Best practice approaches for hardening Linux-based infrastructure will be explored in this course, with students gaining the skills to apply these methodologies themselves."
"6","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8480","IT Security Planning, Audit and Compliance","Description: This course will cover the principles of security planning, audit, governance and controls in the context of IT systems."
"7","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8490","Network Security I","Description: Fundamental components of network security are introduced in this course, including topics such as network protocols and standards relating to secure network design and operations. Approaches to the security operation of routing and switching infrastructure including virtual private networks will also be included.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8500","Network Security II","Description: Building from Network Security I this course will provide further coverage of more advanced network security topics, including firewalls, intrusion protection systems (IPS), network access controls (NAC), and other supporting technologies."
"10","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8510","Ethical Hacking","Description: To protect against hackers, information technology professionals need to be comfortable with the techniques and approaches that could be used against their infrastructure and systems."
"11","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8520","Fundamentals of Computer Forensics","Description: Management of investigations of the state of IT systems is a key role for security professionals."
"12","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8530","Virtualization and Cloud Security","Description: With the increasing adoption of virtual and cloud technologies, specific approaches are needed in responding to the security implications of these environments."
"13","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8540","Wireless and Mobile Security","Description: This course will explore the security considerations in wireless technologies and the approaches to optimize and manage security. Options and choices with respect to the design and implementation of wireless networks in the context of security will be covered in the context of industry best practices."
"14","Conestoga College Institute of Technology and Advanced Learning","Information Technology Network Security","https://www.conestogac.on.ca//fulltime/information-technology-network-security","INFO8550","Contingency Planning and Disaster Recovery","Description: Planning to support proactive availability and recovery is a key component of a strong security environment with an organization."
