"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC1500","Applied Trade Practices and Procedures","Description: Apprentices will learn safe work practices, the application of tools and equipment, and lock – out and tag – out procedures for equipment."
"3","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC1510","Computers and Documentation","Description: The apprentice will perform operations on computers in accordance with manufacturers' and installed software recommendations, draw Process and Instrument (P & I) electrical and loop diagrams and produce computerized presentations and technical documentations by incorporating information from multiple sources. Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC1520","Electrical Theory and Applied Trade Calculations I","Description: Electrical fundamentals and mathematical calculations will be covered in this introductory course."
"5","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC1530","Electronic Systems I","Description: The apprentice will be able to assemble, measure and troubleshoot semi-conductor components and circuits used in the industrial process controls industry. They will describe recommended procedures and use electronic test equipment and also assemble, measure and troubleshoot basic logic gate circuits and schematics, according to government regulations, manufacturer's recommendations and approved industry standards.Hours: 63Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC1540","Instrumentation I","Description: In this course apprentices will describe the operation and application of pressure, temperature, level and flow measuring devices and calibrate temperature, pressure, level and flow by applying theory and performing laboratory experiments and install instruments and control systems according to government regulations, manufacturer's recommendations and approved industry standards.Hours: 75Credits: 5Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","Level 2","Level 2",NA
"8","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC2150","Computer Control Systems","Description: The apprentice will describe Distributed Control Systems (DCS), Programmable Logic Controllers (PLC), Supervisory Control and Data Acquisition (SCADA); interpret electrical circuits, design, build and test ladder diagrams, troubleshoot for DCS's and PLC's according to operating specifications; and troubleshoot Computer Communication Set-Up procedures for DCS's, PLC's and related communication systems.Hours: 39Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC2160","Discrete Control","Description: The apprentice will describe discrete control devices used in the instrumentation and control industry; read, interpret and draw control system electrical schematics for electrical control circuits that interface with electric motors (single/three phases) and electrical solenoid valves; and install and connect discrete controls using various pilot devices, starters and motors.Hours: 36Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC2170","Electrical Theory and Applied Trade Calculations II","Description: The apprentice will describe magnetic principles and solve problems applied to the operation of transformers, describe the operation and perform inductance calculations related to magnetic devices such as; solenoids and relays according to manufacturer's recommendations."
"11","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC2180","Instrumentation and Controls I","Description: The apprentice will be able to disassemble, assemble, stroke, size and select various types of solenoid valves."
"12","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC2190","Instrumentation II","Description: The apprentice will calibrate process measuring devices using prescribed test equipment."
"13","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","Level 3","Level 3",NA
"14","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC3250","Analytical Instrumentation","Description: The apprentice will be able to describe the operating principles of analyzers related to analytical process measurement, describe the fundamentals of analyzer sampling systems according to the manufacturer's design, and calibrate a variety of analyzers and describe recommended maintenance procedures.Hours: 36Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC3260","Applied Circuits","Description: At the end of this course, apprentices will be able to identify symbols and explain the operation of solid state devices."
"16","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC3270","Fluid Power Systems","Description: Fundamentals and applications will be covered in this course including symbols, the hazards of industrial fluid power systems, and the operating principles of industrial hydraulic systems. Apprentices will assemble and test industrial pneumatic systems and hydraulic and pneumatic control circuits of industrial systems all according to manufacturer's recommendations and specifications.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC3280","Instrumentation and Controls II","Description: Apprentice will assemble and test control systems and components commonly found in industry; tune controllers using a variety of methods according to approved industry standards and troubleshoot controller systems to rectify common system problems.Hours: 75Credits: 5Pre-Requisites: CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","Instrumentation and Control Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/instrumentation-and-control-technician-apprenticeship","ELEC3290","Programmable Logic Controllers and Distributed Control Systems","Description: The apprentice will configure and program Programmable logic controllers (PLC) and Distributed Control Systems (DCS), and troubleshoot DCS/PLC systems using problem solving techniques.Hours: 57Credits: 4Pre-Requisites: CoRequisites:"
