"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","BUS8530","Lean UX","Description: Bringing a new product to market is a journey that can take many paths, not all of them rewarding or productive. Lean UX applies Lean Startup principles alongside design thinking and Agile software development ideas to provide an approach to product creation that considers users' needs, and delivers value to users quickly and effectively. Working collaboratively in groups, students will learn and apply principles and processes of Lean UX. This course provides the environment for students to learn facilitation techniques for group processes, while working on UX projects that develop their analytical and design skills. A multidisciplinary team approach that integrates business, users, and technology leads to better products.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DMED8160","Digital Media Technology","Description: In this course students will be introduced to contemporary industry standards, digital content management, technology protocols and communication solutions across multiple digital media platforms. Through hands-on projects and experiments, students will learn practical concepts in computing and digital media that transcend everyday use of common personal computing and consumer devices. Emphasizing innovation and entrepreneurial design solutions, students will develop foundational understandings of key domains such as the open-source movement and its derivatives, client/server technologies, cloud architecture, measurement tools, adaptive technology and industry standards that govern online technological platforms and a broad array of digital content and formats. Students will also examine digital content creation standards and cross-platform optimization and communication.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DSGN8130","Visual Design I","Description: Visual Design I establishes fundamental design concepts and processes for visual communications. Students will explore such basic visual design building blocks as colour, proportion, balance, and space. They will develop an understanding of representational, abstract, and symbolic images and will be introduced to typography. Students will begin to recognize effective composition, content hierarchy and semantic design, centered on usability and human interaction with products, services, environments and systems, and apply this knowledge during critiques of their peers' projects and presentations.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DSGN8140","Interaction Design I","Description: This course will introduce students to one of the fundamental applied Human Factors design disciplines, Interaction Design, through the use of case-studies, hands-on exercises and projects, all grounded in evidence-based human-centered design. Students will develop an understanding of what makes for successful interactive digital products, environments, systems and services, where human behaviour is at the centre of design. Students will learn usability testing, prototyping designs in varying levels of fidelity, and the value of rapidly iterating through proposed solutions.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DSGN8150","Emerging Technologies","Description: The world of digital products is filled with user experiences that go beyond the straightforward interaction with a desktop/laptop computer or mobile phone. Through a combination of lectures, class discussion, hands-on demonstrations, in-depth topic presentations and diverse readings for the current literature, students will survey a wide range of interesting and exciting cross-disciplinary research and products, to gain an understanding of the rich experience possibilities and support ethical and professional solutions for issues arising in an on-line environment. Students will develop a broad and systemic perspective on innovative technologies such as AI and Big Data analytics systems that shape our digital environments today and into the future.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","MKT8270","Social Media Strategy","Description: Effective social media strategies align with corporate and organizational goals, branding, marketing and communication practices. In this course, students will leverage metrics-based analytics and evidence-based strategic design, to implement comprehensive social media strategies for products and services, as a result of a thorough evaluation of interactive media projects' requirements and understanding of user behaviour through a range of analytics tools and techniques. Topics include analytics insights platforms, social media planning process, integration of traditional marketing and social media, trends affecting the social media space, as well as legal implications and budgeting. Market research and user experience research complement the learning in this course.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DMED8170","Immersive Experiences","Description: Digital products can provide immersive experiences, either on their own or in the context of physical spaces. Additionally, spaces such as museums, theme and adventure parks are being designed from a user experience perspective, leveraging complex data sets including location analytics, that converge physical and digital experiences. Through a combination of lectures, class discussion, hands-on demos, in-depth topic presentations, and diverse readings from the current literature, students will be exposed to a wide range of interesting and exciting research and products in the broadly-defined fields of virtual and augmented reality, 3D user interaction, and spatial user interfaces. Students will have the opportunity to design a complex, semester-long media project that will include requirements evaluation and the coordination of design, development, budgeting and resource planning.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DMED8180","Mobile Application Design","Description: This course will apply software design concepts specifically to mobile platforms. Students will be introduced to best current practices in Interaction Design, and will solve a series of design problems which illustrate the unique qualities of a mobile experience. Students will also be required to develop a complex design project, working through the phases of research, conception, requirements gathering, addressing technical challenges, storyboarding, documenting and testing the design. This course will also provide the opportunity for students to evaluate the success of complex media projects from financial, technical and artistic points of view and discuss improvement opportunities.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DSGN8160","Visual Design II","Description: This course is a continuation of Visual Design - I. The emphasis of the course is on enhancing design process skills including research, concept generation, and visual and oral presentations of complex information spaces utilizing advanced skills in design of interfaces. Students will integrate their knowledge of design of complex concepts and processes while learning to evaluate tools and practices appropriate to developing rich and dynamic media content. Students will advance their skills on the design and development of user-centered interfaces that communicate solutions based on measurable assessments of user requirements.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Interactive Media Management - Interaction Design","https://www.conestogac.on.ca//fulltime/interactive-media-management-interaction-design","DSGN8170","Web and Digital Prototyping","Description: The World Wide Web was invented over 20 years ago, though the underlying HyperText Markup Language (HTML) that runs in a web browser has been updated and augmented with Cascading Style Sheets (CSS), Javascript (JS) and many other front-end technologies in the intervening years. Students will learn to manage the building process for high fidelity interactive prototypes of web applications that run on multiple platforms, using current and emerging front-end web technologies. They will base their management process on a thorough evaluation of the requirements for complex interactive media projects and use their application prototypes for usability testing, product demos, and frameworks and specs for development and implementation teams.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
