"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","GRDN1180","Web Graphics and Prototyping","Description: Using current industry-standard software for graphics/prototyping, this hands-on course will allow participants to demonstrate the basics of modifying and combining scanned photographs and graphics to create realistic composite images for the web. Participants will practice creating basic web site wireframes and mockups as blueprints towards a final web product. Hours: 48Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","PROG1835","Web Site Design","Description: Accessibility standards will be applied to create modern websites by structuring and styling web pages with HTML5 and CSS3. Participants will learn how to link pages, display graphic images, create menus, format text, and position elements to produce professional looking web pages. Also explored will be the basics of media queries, scalable media, and the W3C's vision of ""One Web"".Hours: 100Credits: 7Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","PROG1845","Front End Programming","Description: JavaScript is the world's most widely used front-end scripting language. Participants will explore how to write JavaScript code to make the web more responsive, interactive, and functional. Topics covered include program flow, programming concepts, decision-making, form validation, and event handling. Participants will learn the Document Object Model (DOM), and the use of AJAX for dynamically updating web content.Hours: 112Credits: 8Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","PROG1855","Design Analysis","Description: The art of designing a web site is paramount to a successful business presence. Participants will learn various design considerations for page and grid layouts, usability designs, typography, and media placement. Participants will explore the small details that can remove the frustration from user experiences and transform guests to repeat visitors. Students in this course will also practice critiquing various content on a web site to evaluate its importance, appeal, content flow, and usability to aid in their own designs.Hours: 40Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","Level 2","Level 2",NA
"7","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","CDEV1820","Career Launch","Description: This course prepares students to conduct an effective job search. Students will explore labour market trends to uncover the hidden job market."
"8","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","PROG1865","Database Design","Description: The Database Design course will allow participants to create and design fully functional relational databases using Structured Query Language (SQL). Hands-on training with the MySQL database includes creating tables, normalizing databases and building queries. Participants will practice writing functions, stored procedures, events, and triggers which are used in web site CRUD (Create, Read, Update, Delete) operations.Hours: 92Credits: 6Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","PROG1875","Back End Programming","Description: Hypertext Preprocessor (PHP) is the most popular server-side scripting language on the Web. Real-world examples will be used in class to provide participants with the opportunity to use comprehensive skills for building interactive websites using PHP as the core foundation. Participants will explore the use of templates, forms, and sessions to enhance the functionality, reliability, and usability of complex, data-driven web applications.Hours: 92Credits: 6Pre-Requisites: PROG1835CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","PROG1885","Web Content Management","Description: Web Content Management systems (WCM) provide structured content management features such as the ability for rapid publishing, e-commerce, image catalogs, video and any other online content imaginable. This course will focus on WordPress, which is an industry-leading WCM that powers more than 28% of the web and is used by businesses of all sizes. Design topics covered include layout, themes, plugins and widgets. Participants will also use PHP to create plugins and themes for a fully customized solution.Hours: 64Credits: 4Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Internet Applications and Web Development Fundamentals","https://www.conestogac.on.ca/fulltime/internet-applications-and-web-development-fundamentals","PROG1895","Capstone - Web Site Design","Description: This course will require the participant to design and create a web site based on client needs that will encapsulate the program content. Participants will work to create a fully functional web site that will require HTML, CSS, JavaScript, and server based programming. The final site will be visible on the internet so that it can be shown to prospective employers.Hours: 40Credits: 3Pre-Requisites: PROG1835, PROG1845CoRequisites:"
