"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","JRN1120","Production Technology","Description: Students are introduced to the tools and technologies used by radio and TV reporters including audio recording devices, video cameras, and digital editing suites for audio and video."
"5","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","JRN1135","Research and Interviewing","Description: This course introduces students to the concepts of generating sources for stories, developing research strategies and conducting research using live, primary and secondary sources, electronic databases and the Internet. Students apply their research skills to the planning and execution of successful interviews. Proper interviewing techniques for online, print, radio and television news stories are examined.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","JRN1150","Digital News Design","Description: In this course students are introduced to basic news layout and design principles for the display and distribution of news and feature stories in print and online. Student develop their knowledge of the terminology, practices and techniques of newspaper, magazine and online page design.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","JRN1160","Social Media","Description: Students are introduced to a variety of social media tools with the goal of utilizing them for journalistic and professional purposes. Students will explore the use of social media for the sourcing, reporting and distribution of journalistic content, as well as brand development. Students also explore the use of analytics in maximizing audience engagement.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","JRN1205","News Writing","Description: This is an introductory course in news writing."
"9","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","JRN1240","Journalism Law and Ethics","Description: This is an introductory course about law and ethics as they pertain to journalism."
"10","Conestoga College Institute of Technology and Advanced Learning","Journalism","https://www.conestogac.on.ca/fulltime/journalism","Level 2","Level 2",NA
