"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","DRWG1410","Engineering Drawings/Layout Processes","Description: This course designed to introduce the student to the skills necessary to read shop-related blueprints."
"3","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MACH1060","Applied Trade Practices And Procedures","Description: This course provides the apprentice with"
"4","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MACH1290","Trade Theory","Description: This course provides the student with a theoretical background to ensure"
"5","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MATH1270","Applied Trade Calculations, Charts and Tables","Description: This course enables the apprentice to employ the terminology and concepts necessary for machine shop applications of basic algebra, algebraic equations, powers and roots, ratios and proportion."
"6","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","Level 2","Level 2",NA
"7","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","DRWG2060","Mechanical Engineering Drawing and Documentation","Description: Upon successful completion of this course, the student will be able to identify workpiece features, interpret and sketch revolved, removed, partial and broken out sectional views, describe geometric tolerancing. Identify and describe the features, elements, types, and terminology of engineering drawings for gears, cams, and bearings.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MACH2070","Applied Trade Practices and Procedures","Description: The course provides the student with a practical application of heat treatment of ferrous metals, non ferrous metals, precision measurement of part dimensions and features, various turning operations, milling operations and grinding operations."
"9","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MACH2090","Trade Theory","Description: The course provides the student with a theoretical background of heat treatment of ferrous metals; non ferrous metals; precision measurement of part dimensions and features; turning operations; milling operations and grinding operations."
"10","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MATH2180","Applied Mechanical Calculations","Description: Upon successful completion of this course, the student will be able to recognize and use fundamental principles of geometric measurement to solve shop-related problems involving circles, tangents, triangles and polygons. In addition, the student will be able to solve trades-specific problems involving right triangle trigonometry. Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","Level 3","Level 3",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","DRWG3040","Mechanical Engineering Drawing and Documentation","Description: Upon successful completion of this course, the apprentice will be able to read and interpret geometric tolerancing, identify and describe floor layout drawings, and sketch in-process machine-tool modifications.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MACH3030","Applied Trade Practices and Procedures","Description: This course provides the apprentice with a practical application to: prepare feeder and conveyor components for assembly on to machine-tools and system installation; processes for preparing sub-assembly parts; fit and assemble parts and sub-assemblies; testing and verifying functionality of sub-assemblies; operational plan for building and assembling a machine-tool;"
"14","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MACH3040","Trade Theory","Description: This course provides the apprentice with a theoretical background to prepare feeder and conveyor components for assembly on to machine-tools and system installation; processes for preparing sub-assembly parts; fit and assemble of parts and sub-assemblies; testing and verifying functionality of sub-assemblies; the process for integrating main-assemblies and the dry-run testing process of a main-assembly.Hours: 102Credits: 7Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Machine Tool Builder and Integrator (Apprenticeship)","https://www.conestogac.on.ca/fulltime/machine-tool-builder-and-integrator-apprenticeship","MATH3090","Applied Mechanical Calculations","Description: Successful completion of this module will enable the apprentice to solve machine shop problems using the law of sines and the law of cosines/cotangents, perform feeder and conveyor calculations."
