"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","COMP1347","Excel for Engineering Technology","Description: This introductory course will enable the learner to effectively use Microsoft Excel to view, print, modify, and create spreadsheets, with a focus on applications for Engineering Technology.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","EECE1475","Electrical Fundamentals","Description: This course provides students with a working knowledge of electrical principles, electrical circuit components and industrial electrical applications. Supplemented with laboratory exercises, students learn about voltage, current, and power in AC and DC circuits. Students will also be introduced to devices commonly used in industrial control circuits such as basic sensors and actuators, AC and DC motors, transformers, and how these are interconnected."
"6","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","IFME1020","Introduction to Fluid Power and Automation","Description: This course introduces the students to the field of industrial fluid power and control."
"7","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","MACH1010","Conventional Machining Processes","Description: This course is designed to expose the student to the practical and theoretical aspects and basic knowledge of conventional metal removal machine tools and their various cutting tools used in manufacturing processes. In addition, the student will understand the fundamentals of metric and imperial system of measurement, and the use and application of precision measuring instruments.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","MATH1085","Mathematics I","Description: This course provides an extensive review and reinforces some of the topics taken by students in high school. Its purpose is to ensure that the student has a fluent background in algebra and trigonometry in order to succeed in subsequent work in engineering technology. The material covered includes fundamental arithmetic and algebraic operations, geometry, trigonometry, vectors, and the solution of systems of linear equations by algebraic methods."
"9","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","MECH1050","Engineering Drawing I","Description: In this course, both freehand drawing and computer-aided drawing techniques (using AutoCAD) are used to introduce the student to Mechanical Engineering drawings."
"10","Conestoga College Institute of Technology and Advanced Learning","Mechanical Engineering Technology - Robotics and Automation (Optional Co-op)","https://www.conestogac.on.ca//fulltime/mechanical-engineering-technology-robotics-and-automation","PROG1395","Visual Basic for Applications for Engineering","Description: This introductory course will enable the learner to use Visual Basic for Applications (VBA) to write programs using fundamental structured programming techniques such as; basic user interfaces, logic and loops, data management and manipulation and error handling.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
