"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","DRWG1330","Mechanical Engineering Drawings","Description: This course is designed to introduce the student to the skills necessary to read shop-related blueprints. The student will then be able to transfer dimensioned information to measurements on a workpiece, identify the features of a workpiece by interpreting a two or three view mechanical drawing, sketch to scale the three principle views of a workpiece or a pictorial view, and demonstrate layout procedures. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","MACH1940","Precision Machining Theory I","Description: This course will introduce students to the theory involved in the safe and efficient operation of conventional machine tools used in a manufacturing environment as well as the application of metallurgy, metrology and industrial safety regulations.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","MACH1955","Precision Machining Practice I","Description: This course will introduce the student to hands on machining processes and applications involved in the safe operation of machine tools."
"7","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","MATH1040","Applied Technical Mathematics","Description: This course will provide an understanding of terminology, basic concepts and applications of algebra, geometry and introductory trigonometry in solving technical problems pertaining to metal machining. The fundamentals of International System of Units (SI) will be discussed to assist students in developing a functional knowledge of the metric system. Students will perform occupational calculations in the Imperial and Metric systems to solve technical problems and will read and interpret data pertaining to metal machining. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","Level 2","Level 2",NA
"9","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","MACH1165","CNC Manual Programming","Description: This course introduces the student to manual CNC programming."
"10","Conestoga College Institute of Technology and Advanced Learning","Mechanical Technician - Tool and Die/Tool Maker (Optional Co-op)","https://www.conestogac.on.ca/fulltime/mechanical-technician-tool-and-die-tool-maker","MACH1965","Precision Machining Theory II","Description: This course continues with precision theory"
