"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","COMP1453","Computer Applications","Description: The student is introduced to the basics of computer operating systems and file management. The student will gain practical knowledge of various software applications such as:"
"3","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","MATH1683","Math I for Plumbing","Description: In this course, students will strengthen their mathematical skills in numeracy, measurement and data analysis, algebra, and geometry to improve the mathematical competency required in plumbing trade.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","PLMB1120","Plumbing Theory I","Description: This course will introduce students to the tools, materials, equipment, methods and current regulations as they relate to the design and construction of piping systems in the plumbing field. Students will demonstrate the ability to identify, select and construct common plumbing piping materials as they would be used in field practice. This course will introduce students to the Ontario Building Code relating to Plumbing."
"6","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","PLMB1130","Plumbing Practice I","Description: Students will be introduced to a variety of both hand tools and power tools. Students will be expected to safely demonstrate the ability to identify, select and use the tools to construct piping and construction projects using a variety of materials. The successful completion of this course will enable the student to install all types of materials: steel, cast iron, copper, and plastic piping. In addition, the student will be able to thread, groove, and solder.Hours: 112Credits: 6Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","PLMB1265","Plumbing Prints","Description: In this course the student will learn the basics of blueprint reading.This course will introduce the student to isometric drawings to scale and reinforce the ability to produce orthographic drawings and read and interpret piping systems construction trade drawings and job specifications.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","WELD1005","Welding","Description: This course will introduce the student to the concepts of Oxy-Fuel Welding (OFW), Brazing (OFB) and Cutting (OFC), Shielded Metal Arc Welding (SMAW) and the Gas Metal Arc Welding (GMAW) process. Theory class will cover the safe setup and working practices of these processes as well as introduce the student to the fundamental concepts involved in each process operation. The shop component will see the student implement safe working practices along with skills development in the area of OFW, OFB, OFC, SMAW and the GMAW process. Students will practice the butt, lap and t-joint on mild steel using the above welding processes and use the OFC process to make straight and bevel cuts, pierce holes and cut shapes out of mild steel plate. Students will learn about the required equipment and demonstrate proper and safe setup procedures.Hours: 42Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","MATH1705","Math II for Plumbing","Description: This course will enable students to improve their mathematical skills required for the plumbing trade. This course will further enable students to strengthen their mathematical skills in numeracy, measurement and data analysis, algebra, and geometry from the knowledge gained in Math I for Plumbing.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","OHS1350","Occupational Health and Safety (Plumbing)","Description: Students will learn about safe working habits and procedures in accordance with applicable safety standards and regulations in the construction industry, with particular attention to personal protective equipment, tools, working at heights, in trenches and confined spaces. Students will become aware of relevant sections of the Occupational Health and Safety Act (OHSA) and Workplace Hazardous Materials Information System (WHMIS 2015) standards.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","PLMB1300","Plumbing Theory II","Description: This course will introduce students to the tools, materials, equipment, methods and current regulations as they relate to the design and construction of a variety of plumbing and heating systems in the plumbing field. Students will demonstrate the ability to identify, select and construct common plumbing piping materials as they would be used in field practice. Students will use the current regulations to recognize, describe size and analyze drainage waste and vent installations.Hours: 84Credits: 6Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","PLMB1310","Plumbing Code","Description: In this course, the student will learn the use of the Ontario Plumbing Code. This course will introduce students to th euse of th plumbing code in its application to basic plubing systems Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Mechanical Techniques - Plumbing","https://www.conestogac.on.ca/fulltime/mechanical-techniques-plumbing","PLMB1320","Plumbing Practice II","Description: Students will continue to work with a variety of both hand and power tools and use those tools to construct piping and construction projects using a variety of materials. Working in accordance with relevant legislation, the student will rough-in water supplies, wastes, and vents, and will further develop their skills to thread, groove, solder. The student will also design, install and test a two-piece washroom rough-in.Hours: 112Credits: 6Pre-Requisites: CoRequisites:"
