"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","AUTO1465","Introduction to Automotive Service and Repair","Description: In this course, the student will be given an overview of motive power safety, WHMIS, and automotive systems; plus the operation and application of automotive tools, meters, and equipment, including basic function and usage of trade related hand and power tools. A major component of this course will deal with part and component identification and location.Hours: 182Credits: 9Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","AUTO1470","Automotive Repair Practices","Description: This course will cover bearings, seals and component fasteners. In addition shop safety relating to vehicle lifting procedures, basic vehicle maintenance and vehicle service will also covered.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","COMP1280","Computer Applications","Description: This course will introduce students to the use of word processing and spreadsheet software, as well as, operating systems and the Web to produce technical documents.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"7","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","MATH1830","Applied Mathematics","Description: This course is an applied mathematics course enabling the student to utilize arithmetic, algebra, trigonometry and geometry to solve technically oriented problems. This course is designed to develop a proficiency in mathematics necessary for subsequent courses in the Motive Power trades. The course covers both vocational (job oriented) and generic skills (written, analytical and problem-solving).Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","MOTV1210","Drawings, Schematics and Basic Electricity","Description: This course will introduce the student to basic electrical theory, electrical laws, test equipment, and schematic diagrams and symbols.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","MOTV2205","Motive Power Business I","Description: This course will introduce students to the foundations of business both in Canada and globally. Students will study various business structures as well as topics in economics, accounting, marketing, finance and operations management. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","AUTO1231","Engine Systems I","Description: In this course students will demonstrate a working knowledge of two and four cycle internal combustion engines."
"12","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","AUTO1250","Electrical/Electronic Fuel and Emission Systems I","Description: This course provides an overview of electrical operation including batteries and battery testing, component testing with electrical meters, and the application of electrical mathematical calculations. In addition, the course content includes the basic electrical motor operation and components as well as electronics used in the automotive trade along with purposes and testing procedures."
"13","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Automotive Service","https://www.conestogac.on.ca/fulltime/motive-power-technician-automotive-service","AUTO1271","Drive Train Systems I","Description: This course provides basic coverage of gears, levers and mechanical advantage, and a thorough coverage of manual drive line components including:"
