"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","COMP1280","Computer Applications","Description: This course will introduce students to the use of word processing and spreadsheet software, as well as, operating systems and the Web to produce technical documents.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","MATH1830","Applied Mathematics","Description: This course is an applied mathematics course enabling the student to utilize arithmetic, algebra, trigonometry and geometry to solve technically oriented problems. This course is designed to develop a proficiency in mathematics necessary for subsequent courses in the Motive Power trades. The course covers both vocational (job oriented) and generic skills (written, analytical and problem-solving).Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","MOTV1210","Drawings, Schematics and Basic Electricity","Description: This course will introduce the student to basic electrical theory, electrical laws, test equipment, and schematic diagrams and symbols.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","TRCK1710","Trade and Repair Practices","Description: In this course, students will cover fastening devices, bearings, seals and sealants and the use of precision measuring tools Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","TRCK1720","Introduction to Truck and Coach Service and Repair","Description: In this course the student is given an overview of truck and coach systems, including the operation and interpretation of precision measuring tools and meters."
"9","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","WELD1610","Welding for Motive Power","Description: The students will learn the fundamentals of the Shielded Metal Arc Welding (SMAW) and Gas Metal Arc Welding (GMAW) processes as well as oxy-fuel welding and cutting. Topics will include safe operating principles, applications, equipment setup and troubleshooting. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","CDEV1820","Career Launch","Description: This course prepares students to conduct an effective job search. Students will explore labour market trends to uncover the hidden job market."
"12","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","MOTV2205","Motive Power Business I","Description: This course will introduce students to the foundations of business both in Canada and globally. Students will study various business structures as well as topics in economics, accounting, marketing, finance and operations management. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","MOTV2250","Legal Issues in Motive Power","Description: This course will review the legal issues in the motive power trades that cover subjects pertaining to Environmental issues, Liens Act, Vehicle Safety Inspection and sign-off , liabilities and Health and Safety Legislation issues (OHSA).Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","TRCK1140","Fluid Power Systems","Description: This course covers the fundamentals of the construction, operating principles, testing and servicing of electrical system circuits and components, light and heavy duty lead acid batteries, gasoline fuel systems, intake and exhaust systems and emission control systems. Another component of this course covers the design, layout and interpretation of electrical system wiring diagrams.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","TRCK1155","Engine and Fuel Systems I","Description: In this course, students will demonstrate a basic knowledge of the construction, operating principles, testing and servicing of diesel combustion engine assemblies, cylinder heads and valve trains, lubrication systems, cooling systems, intake and exhaust systems. Additionally, they will examine the fundamental properties, composition and operation of fuel systems – specifically diesel fuel systems, enabling students to perform inspection, maintenance and testing procedures on diesel fuel systems, and recommend appropriate reconditioning or repairs.Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Motive Power Technician - Truck and Coach","https://www.conestogac.on.ca/fulltime/motive-power-technician-truck-and-coach","TRCK1740","Electrical Systems I","Description: Demonstrate a basic working knowledge of the principles of electrical theory and laws, and use of electrical test equipment. Demonstrate an ability to trace, test and repair electrical circuits and components. Demonstrate a basic knowledge of electromagnetic devices and test and service batteriesHours: 56Credits: 4Pre-Requisites: CoRequisites:"
