"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","COMP1280","Computer Applications","Description: This course will introduce students to the use of word processing and spreadsheet software, as well as, operating systems and the Web to produce technical documents.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","MATH1830","Applied Mathematics","Description: This course is an applied mathematics course enabling the student to utilize arithmetic, algebra, trigonometry and geometry to solve technically oriented problems. This course is designed to develop a proficiency in mathematics necessary for subsequent courses in the Motive Power trades. The course covers both vocational (job oriented) and generic skills (written, analytical and problem-solving).Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","MOTV1210","Drawings, Schematics and Basic Electricity","Description: This course will introduce the student to basic electrical theory, electrical laws, test equipment, and schematic diagrams and symbols.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","TRCK1710","Trade and Repair Practices","Description: In this course, students will cover fastening devices, bearings, seals and sealants and the use of precision measuring tools Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","TRCK1720","Introduction to Truck and Coach Service and Repair","Description: In this course the student is given an overview of truck and coach systems, including the operation and interpretation of precision measuring tools and meters."
"9","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","WELD1610","Welding for Motive Power","Description: The students will learn the fundamentals of the Shielded Metal Arc Welding (SMAW) and Gas Metal Arc Welding (GMAW) processes as well as oxy-fuel welding and cutting. Topics will include safe operating principles, applications, equipment setup and troubleshooting. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Motive Power Techniques - Truck and Coach Repair","https://www.conestogac.on.ca/fulltime/motive-power-techniques-truck-and-coach-repair","Level 2","Level 2",NA
