"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV1017","Motorcycle Work Practices","Description: In this course the student will demonstrate a basic working knowledge of accepted trade workshop practices and procedures."
"3","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV1025","Motorcycle Engines","Description: Demonstrate a basic knowledge of the construction, operating principles, testing and servicing of 2 and 4 stroke internal combustion engines and assemblies, cylinder heads and valve trains, lubrication systems, cooling systems, intake and exhaust systems.Hours: 63Credits: 4Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV1037","Motorcycle Power Trains","Description: In this course the student will demonstrate how to remove, diagnose, repair and install variable ratio belt drive systems and final drive units, in accordance with government safety regulations, manufacturers' recommendations/specifications and approved industry standards.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV1045","Motorcycle Braking Systems and Chassis","Description: Demonstrate a basic working knowledge of the construction, operating principles, testing and servicing of motorcycle hydraulic brake systems. Also demonstrate a working knowledge of the construction, operating principles, testing and servicing of motorcycle chassis systems including steering and suspension systems. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV1055","Motorcycle Electrical/Electronic and Fuel Systems","Description: Demonstrate a basic working knowledge of the construction, operating principles, testing and servicing of motorcycle electrical system circuits and components, electromagnetic devices and motors, cranking and charging systems, lead acid batteries, electrical laws and calculations, and electrical test equipment. Demonstrate a working knowledge of the construction, operating principles, testing and servicing of motorcycle fuel systems, fuel switches, air induction and carburetors.Hours: 63Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","Level 2","Level 2",NA
"8","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV2320","Motorcycle Work Practices","Description: in this course students will identify and utilize effective communication techniques and interpersonal skills, as well as be able to perform basic MIG and TIG welding techniques in accordance with government safety regulations, manufacturer's recommendations/ specifications and approved industry standards.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV2330","Motorcycle Engines","Description: In this course, students will remove, diagnose, repair and install engines, including cooling, exhaust and lubrication systems in accordance with government safety regulations, manufacturer's recommendations/ specifications and approved industry standards.Hours: 49Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV2345","Motorcycle Power Trains","Description: In this course students will remove, diagnose, repair and install variable ratio belt drive system and final drive units, in accordance with government safety regulations, manufacturer's recommendations/ specifications and approved industry standards. Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV2350","Motorcycle Braking Systems and Chassis","Description: In this course students will remove, diagnose, repair and install tires and wheels, chassis components and braking systems in accordance with government safety regulations, manufacturers' recommendations/ specifications and approved industry standards.Hours: 49Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Motorcycle Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/motorcycle-technician-apprenticeship","MOTV2360","Motorcycle Electrical/Electronic and Fuel Systems","Description: In this course students will test, diagnose and repair electrical and ignition systems using manufacturers' guidelines and schematics."
