"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","CDEV1820","Career Launch","Description: This course prepares students to conduct an effective job search. Students will explore labour market trends to uncover the hidden job market."
"3","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","COMM1145","Fundamentals of Information Technology Infrastructure Library","Description: ITIL is a standard used in all aspects of Information Technology (IT) and as such, students will explore the fundamentals of how ITIL relates to the IT industry."
"4","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1015","Hardware Fundamentals","Description: A practical hands-on ability to work with hardware in an IT setting is essential for any IT professional."
"5","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1025","Network Fundamentals","Description: Identifying and troubleshooting basic network issues is an essential skill required by anyone working in an IT department. Students will cover many topics including: internetworking fundamentals, Ethernet LANs and switches, IP addressing, subnetting and network security. The student will be provided with the opportunity to configure and troubleshoot Cisco switches and routers including static and dynamic routing configurations. In addition, various WAN technologies will be identified and configured. Hours: 72Credits: 5Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1035","Integrated Project I","Description: In addition to working on specific tasks, IT professionals are often called upon to plan and complete larger projects. Students will be required to work as a member of a team to complete a large project, demonstrating skills and knowledge gained from previous courses. During the project, the team will create and present a solution to a specific requirements document. Use of technical knowledge, project management, time management, analysis, and communications skills will be emphasized.Hours: 20Credits: 1Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1055","Windows Server I","Description: Very few businesses operate without Windows Server being deployed in the organization. As a result, anyone working in IT today needs to be able to manage Windows Server. Students will gain the skills and knowledge required to administer and secure a Windows Server infrastructure. This course will focus on the installation of Windows Server as well as configuring, security and troubleshooting core services including networking, storage, Active Directory Domain Services, file sharing, and printing. Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1065","Software Fundamentals","Description: Software issues are common place in any IT environment. Students will install, configure and secure operating system software on Windows based client machines. Troubleshooting and resolving common software issues will also be explored during the duration of this course.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1075","Windows Server II","Description: Windows Server II will build on the skills learned in Windows Server Installation and Configuration as well as implement Microsoft Azure. In this course, students will learn to manage Active Directory users and groups, configure group policy, implement remote access components, deploy patches and security updates, and monitor server resource consumption. Hours: 72Credits: 5Pre-Requisites: INFO1025, INFO1055CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1085","SQL Server","Description: Microsoft SQL Server is one of the most popular database management systems used by businesses today. As a result, anyone working in IT needs to be able to manage a Microsoft SQL Server. This course will focus on installing Microsoft SQL Server as well as supporting clients through the use of a variety of SQL commands. Hours: 40Credits: 3Pre-Requisites: INFO1025CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1095","Email Configuration and Operations","Description: Many businesses use Exchange Online as their e-mail host. Students will learn the skills and knowledge required to manage an Office 365 mail platform. This course will primarily focus on installing Exchange Server with Exchange Online as well as configuring and troubleshooting core services including basic storage configurations, message flow and online client configuration.Hours: 60Credits: 4Pre-Requisites: INFO1025CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1105","Linux Server","Description: Linux skills and knowledge are in high demand in today's business infrastructure and, as a result, the operating system is used where high resource usage and security are needed. Students will install, configure, and secure the operating system on multiple client systems. In addition, more advanced topics included will be logical volume configuration, access control configuration, security and package management.Hours: 60Credits: 4Pre-Requisites: INFO1025CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1115","Virtualization","Description: Virtualization is at the heart of business infrastructure (or cloud computing) today. Participants will gain hands-on skills and knowledge by installing and configuring a virtual system. Skills covered will include: configuring and administering network and storage resources, deploying and managing virtual machines, monitoring and managing resource consumption, configuring basic security, and configuring and managing high availability. Hours: 48Credits: 3Pre-Requisites: INFO1025CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Network Technical Support","https://www.conestogac.on.ca/fulltime/network-technical-support","INFO1125","Integrated Project II","Description: Students will demonstrate as a team member, the skills and knowledge gained throughout this program to complete a large scale project. Responding to a requirements document, teams will plan, build and present a system that will require research into technology that has not been previously implemented in class. The use of technical knowledge, project management, time management, and analysis skills will be utilized during this course.Hours: 20Credits: 1Pre-Requisites: INFO1025CoRequisites:"
