"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","DIET1170","Problem Solving in Nutrition and Food","Description: This course introduces basic mathematical concepts used in food service management and nutrition care. Emphasis of applied problem solving related to food service and nutrition assessment occurs through practical application of course material to case studies. Hours: 42Credits: 3Pre-Requisites: CoRequisites: HEAL1095"
"5","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","HEAL1095","Introduction to Nutrition","Description: This course focuses on nutrition concepts, guidelines, and recommendations to promote healthy food consumption."
"6","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","MGMT1650","Professional Practice I","Description: This course will provide a foundation in the professional, philosophical and ethical issues relevant to a food and nutrition manager and will expose students to the varied environments of the food and nutrition professional. Concepts such as professional conduct, confidentiality, informed consent, and professional boundaries will be discussed. Industry associations impacting the workplace will be explored, while examining the scope of practice, key skills and nutrition care duties of a nutrition manager. A study of evidenced-based practice and research literacy will also occur. Students will develop materials and resources that will be beneficial in supporting personal and professional development throughout the program.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","MGMT1665","Food Service I","Description: This course will introduce students to food service systems, operations, and menu planning from a management perspective. Topics will include components of food services, food operations, government legislation, procurement, receiving, storing and inventory, and food production from a management lens. Students will utilize industry computer software throughout the course for application of theoretical concepts. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","QUAL1135","Sanitation, Safety and Quality Assurance","Description: The necessity and importance of safe food handling practices and maintenance of all areas of a food service establishment, particularly in health care, is emphasized in this course. Relevant legislation and industry best practices for health, safety, sanitation, quality assurance, and client satisfaction are explored from a food service management perspective.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","DIET1120","Nutrition Care Across the Lifespan","Description: This course explores each stage of the lifecycle from conception onward. The nutritional screening, requirements and care will be discussed in the context of physiologic and cognitive development. Dietary and physical activity recommendations for each age group will be discussed. Conditions, interventions and current trends that have a nutritional impact for each age group will be explored. Strategies to promote nutrition within the communities will be discussed throughout the course.Hours: 42Credits: 3Pre-Requisites: HEAL1095CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","DIET1150","Fundamentals of Food","Description: This course applies the principles of food science and food processing to nutrient content and availability including the physical and chemical composition of foods. Methods of food purchasing, preparation, storage, and the influence of biotechnology and food additives will also be discussed. Students will be introduced to the principles of menu planning for optimum nutrition and sustainability in food systems."
"12","Conestoga College Institute of Technology and Advanced Learning","Nutrition and Food Service Management","https://www.conestogac.on.ca/fulltime/nutrition-and-food-service-management","DIET1160","Nutrition Care I","Description: This course introduces students to the concepts of modifying and interpreting food restriction for various personal preferences and medical conditions. Community populations and low to moderate nutrition risk conditions, including allergies, intolerances, drug-nutrient interactions, respiratory disorders, gastrointestinal disease, and hematological disease will be studied in depth. The anatomy, physiology, and pathophysiology of body systems involved in diseases with nutritional consequences will be explored. Students will become proficient in the nutrition assessment of community clients and patients with low to moderate"
