"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","ADMN1305","Document Processing","Description: In this course, students will develop and apply touch typing skills to the preparation of business documents typically used in an office environment. Using a web-based software program, students will apply touch typing skills to the production of a variety of business-related documents including business letters, memos, and E-mail messages according to specific content, layout and formatting guidelines. Students will be expected to organize work and produce correctly formatted and accurate work within a specified timeframe.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","COMP1080","Spreadsheets","Description: Students gain hands-on experience using Microsoft Excel creating an assortment of spreadsheet documents. A variety of software features will be explored including: worksheet chart and database features; multi-sheet workbook options; functions, formulas and 3-D formulas and a variety of formatting tools.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","COMP1355","Presentation Software","Description: This course focuses on tools and techniques for creating professional business presentations."
"6","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","COMP1913","Word Processing","Description: Students gain hands-on experience with the most current word processing software, creating an assortment of business-related documents typically found in today's office environment."
"7","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"8","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","MATH1820","Foundations of Business Math","Description: This course will provide the student with learning tools that will help them to improve basic arithmetic skills and to develop reasoning and problem solving skills. It is designed for students to help them bridge any existing gap between their current preparation and college level math.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","Electives: General Education
      
      Student must pass 1 Course(s), selected in the Student Portal from available course options","Electives: General Education","Student must pass 1 Course(s), selected in the Student Portal from available course options"
"10","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","ACCT1060","Bookkeeping for Office Settings","Description: This course is designed to introduce the student to the fundamentals of bookkeeping."
"12","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","BUS1095","Office Procedures I","Description: This course will focus on the skills required to be a productive member of an office team."
"13","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","CDEV1830","Career Success","Description: This course focuses on the skills needed to conduct a successful job search. Students will explore the labour market and identify trends that may impact their future careers. They will develop skills for an effective job search including networking, self-marketing documents and tools as well as interview skills. Mock interviews will provide the opportunity for practice, feedback and reflection as students prepare for future interviews. Students will develop a personalized job search plan to support their future careers. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","COMM1410","Fundamentals for Effective Written Communication","Description: This course is designed to help students acquire accuracy and clarity in written communication for business workplace settings. The course will also help students develop writing skills that reinforce the use of correct grammar and mechanics. Emphasis will be placed on applying correct grammar, punctuation, and spelling to a variety of business-related documents.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","COMP1060","Advanced Spreadsheets","Description: Building on concepts in Spreadsheets, this course covers advanced formula creation and examines Microsoft Excel's analysis tools."
"16","Conestoga College Institute of Technology and Advanced Learning","Office Administration - General","https://www.conestogac.on.ca/fulltime/office-administration-general","COMP1908","Advanced Word Processing","Description: Building on concepts and functions developed in Word Processing, students will demonstrate mastery of advanced features of the most current word processing software to create and enhance error-free business-related documents. Proofreading and file management skills will be emphasized. Hours: 56Credits: 4Pre-Requisites: COMP1070 or COMP1913CoRequisites:"
