"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","FOOD8020","Principles of Food Safety and Quality Assurance","Description: This course will introduce the student to food safety hazards, their negative impact on the food industry and the benefits of developing strong food safety control programs to assure safe food production. This course provides in-depth coverage of the fundamental concepts of food safety, Preventive Control Plans (PCP) and how they assist in controlling the likelihood of introducing food safety hazards to the food product through the work environment and operational practices. Students will be introduced to the knowledge and skills required to enable them to establish and implement PCP. This course will provide a strong foundation for the later studies in hazard analysis and critical control points (HACCP), and other globally recognized food safety management systems. This course provides in-depth coverage of food safety according to the Safe Food for Canadians Regulations (SFCR), Codex Alimentarius Basic Texts (WHO) and the Global Food Safety Initiative (GFSI). Students will be introduced to the resources necessary to enable them to customize Preventive Control Plans (PCP) to meet industry specific requirements and regulations and industry best practices. The learner will be introduced to the skills required to identify, document and communicate food safety responsibilities for different job categories and the need for involvement and interactions between departments in a food organization (i.e. production management, maintenance, engineering, sanitation, product development, quality control, marketing, sales, production employees).Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","FOOD8121","Food Manufacturing - Equipment Operations I","Description: This course includes an introduction to food science, food composition, basic processing methods, and food regulations."
"5","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","FOOD8160","Cleaning and Sanitation","Description: This course will give students an in-depth knowledge of effective Cleaning and Sanitation practices in the food and beverage manufacturing industry. Specific methods for determining soils and choosing the best chemical agents for treatment and elimination, main causes of environmental cleanliness failure and the science base for choosing the most effective ways to perform and evaluate sanitary conditions will be presented. Proper use of and safe handling of chemicals, along with overall safety in sanitation will be practiced throughout the course. Methods of detection and correction will be explored from both a practical and theoretical point of view. Students will be assigned sanitation tasks and will use the knowledge gained to test various cleaning agents and different techniques to determine their efficacy by means of on-site inspections, microbiological and ATP swabbing on actual food manufacturing lines. Assignments will include the creation of a Master Sanitation Schedule for the pilot plant and SSOPs for the equipmentHours: 41Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","MGMT8481","Developing Team Dynamics and Employee Engagement","Description: Success in any professional environment requires employees to operate effectively as a team member, acknowledging and functioning as part of a group."
"7","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","MGMT8530","Performance and Competency Management","Description: Competency and performance improvement remain urgent goals of most organizations."
"8","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","QUAL8080","Operations Management","Description: This course will introduce the student to the process of manufacturing and how manufacturing operations are planned and managed. Special emphasis will be placed upon the process of bringing new products to market. Topics will include: the concept of “Value-Adding”, production strategies and processes, concurrent engineering, design for manufacturability, “lean manufacturing”, plant and work-cell layout, process flowcharting and operation analysis, labour force planning, and health and safety management.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Operations Leadership in Food Manufacturing","https://www.conestogac.on.ca//fulltime/operations-leadership-in-food-manufacturing","FOOD8055","Quality Assurance Management Systems","Description: This course will provide the students with practical knowledge and experience in food quality management systems."
