"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","COMP1925","Packaging Software Applications","Description: Students will be introduced to the computer software commonly used within the Packaging industry. The capabilities of and applications for programs used by specific industry groups (i.e. ArtiosCAD for the corrugated and paperboard industries) and the broad based industry (i.e. TOPS, Excel, PowerPoint and Sway) will be reviewed.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN1270","Principles of Packaging","Description: This course looks at packaging systems, materials and forms, and their relationship to the needs and wants of society."
"6","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2010","Corrugated Packaging","Description: The student will be able to describe the physical properties and attributes of corrugated packaging best suited for the distribution of goods. In addition the student will be able to discern the nature and importance of load unitizing and load stabilization methods, operate computer aided load efficient software related to package and load design and identify the manufacturing requirements of a corrugated container. Standard industry corrugated board characterization tests will be performed.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","MATH1085","Mathematics I","Description: This course provides an extensive review and reinforces some of the topics taken by students in high school. Its purpose is to ensure that the student has a fluent background in algebra and trigonometry in order to succeed in subsequent work in engineering technology. The material covered includes fundamental arithmetic and algebraic operations, geometry, trigonometry, vectors, and the solution of systems of linear equations by algebraic methods."
"8","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","PHYS1111","Physics I - Mechanics","Description: This course will give students a basic understanding of mechanics."
"9","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","CHEM1140","Chemistry for Packaging","Description: This course first presents selected topics in atomic structure, periodic table, ionic and molecular compounds, states of matter, chemistry of water and air, characteristics of solutions, chemical reactions, ideal gas law, and quantitative relationships. The second part of the course covers the fundamentals of organic chemistry, including structure, nomenclature, properties, and important reactions of organic compounds, with functional groups also explained. The last part of the course introduces students to important aspects of polymers, including their classification, synthesis, properties, and applications. The course also includes a lab component, where the students carry out experiments to demonstrate the chemistry principles learned. Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN1280","Artios CAD Concepts","Description: The student will become familiar with ArtiosCAD Software in order to generate packaging drawings. The student will be able to design corrugated and paperboard containers to industry standard designs employing CAD software.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2030","Packaging Testing Lab 1","Description: Students will conduct laboratory experiments to determine properties of packaging materials and evaluate the response of packages and products to shock, vibrations, and compression. Students operate standard testing equipment and become familiar with industry recognized test methods and standards."
"13","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","MATH1195","Mathematics II","Description: This course is a continuation of the Mathematics I and is oriented towards the direct application of mathematical techniques to mechanical fundamentals. It covers exponential and logarithmic equations; problems involving ratio, proportion and variation, and plane analytic geometry.Hours: 42Credits: 3Pre-Requisites: MATH1085CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","PHYS1120","Physics II","Description: As a continuation of Physics I, this course will examine more topics in physics."
"15","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"16","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 3","Level 3",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN2260","Rigid Container Design","Description: The student will be able to determine particular characteristics of the various rigid packaging forms used in packaging design. The benefits and applications of each rigid packaging medium will be discussed."
"18","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN2270","3D Artios CAD","Description: This course continues to explore the use of the ArtiosCAD software using more advanced modeling of designed materials. Hours: 42Credits: 3Pre-Requisites: DSGN1280CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN2280","Flexible Packaging Design","Description: The student will learn the manufacturing techniques used in the creation and design of laminate structures that satisfy product preservation and safety needs."
"20","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2000","Paperboard Packaging","Description: The student will be able to describe the physical properties and attributes of paperboard best suited for the protection and distribution of goods."
"21","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2040","Protective Packaging","Description: The student will develop skills to analyze and evaluate the hazards encountered in the distribution environment. Concepts related to motion, mechanical, electrical, electromagnetic, energy transformation, hydraulic, and pneumatic systems will be discussed. Hours: 42Credits: 3Pre-Requisites: DSGN1270, MATH1190 or MATH1195, PHYS1120CoRequisites:"
"22","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"23","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 4","Level 4",NA
"24","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","COMM1130","Technical Communications","Description: In this course, students will learn professional writing and presentation skills required for effective technical communication in the workplace. They will learn to write technical documents by applying standard technical writing style and analyzing their forms and uses for target audiences, purposes, and contexts. They will also learn to write formal technical proposals or reports using research and documentation skills.Hours: 42Credits: 3Pre-Requisites: COMM1085CoRequisites:"
"25","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN2400","New Product Development - Packaging","Description: Students will conduct experimental investigation and evaluation of many kinds of packaging containers such as: glass, plastic, metal, corrugated, and closures. Students will be able to develop a package including material selection, design and implementation of package systems for protection, distribution, merchandising, use and disposal. The course will cover testing methods, development of quality control methodology, legislative influences on packaging technology, and the role of packaging in marketing."
"26","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN2410","Technical Project I","Description: Students will be exposed to a typical project undertaken in industry. This self-directed technical project may be solving a design problem, designing a new product or other special topics as mutually agreed to by the student and the professor. Students will demonstrate their design, problem-solving, written and oral communication skills via a comprehensive final report and project presentation.Hours: 42Credits: 3Pre-Requisites: DSGN2270, IENG2040, IENG2030CoRequisites:"
"27","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG1100","Packaging Specifications","Description: In this course, students will examine and analyze specification documentation requirements, performance factors, and tolerance levels. Students will study and utilize sets of documents detailing the exact dimensional, aesthetic, and functional requirements of each component in a packaging system. Students will utilize this knowledge to follow the principles of well-written specifications.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"28","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2020","Introduction to Packaging Business Costing","Description: In this course, students will apply basic mathematics to understand the cost structure of manufacturing packaging materials. Students will be able to determine the cost of various packaging materials as well as to demonstrate an understanding of how the cost of labour is calculated. Students will learn to apply mark-ups and mark downs with relevance to the industry. The student will construct a bill of materials for a complete packaging project and demonstrate how to calculate total cost of packaging materials and the cost of labour to provide a final price to the customer.Hours: 28Credits: 2Pre-Requisites: MATH1195CoRequisites:"
"29","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2050","Packaging Regulations","Description: Major packaging laws such as the Consumer Packaging and Labeling Act and the Food and Drug Act will be examined, particularly as they impact on package design. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"30","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"31","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 1","Level 1",NA
"32","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"33","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","COMP1925","Packaging Software Applications","Description: Students will be introduced to the computer software commonly used within the Packaging industry. The capabilities of and applications for programs used by specific industry groups (i.e. ArtiosCAD for the corrugated and paperboard industries) and the broad based industry (i.e. TOPS, Excel, PowerPoint and Sway) will be reviewed.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"34","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"35","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN1270","Principles of Packaging","Description: This course looks at packaging systems, materials and forms, and their relationship to the needs and wants of society."
"36","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2010","Corrugated Packaging","Description: The student will be able to describe the physical properties and attributes of corrugated packaging best suited for the distribution of goods. In addition the student will be able to discern the nature and importance of load unitizing and load stabilization methods, operate computer aided load efficient software related to package and load design and identify the manufacturing requirements of a corrugated container. Standard industry corrugated board characterization tests will be performed.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"37","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","MATH1085","Mathematics I","Description: This course provides an extensive review and reinforces some of the topics taken by students in high school. Its purpose is to ensure that the student has a fluent background in algebra and trigonometry in order to succeed in subsequent work in engineering technology. The material covered includes fundamental arithmetic and algebraic operations, geometry, trigonometry, vectors, and the solution of systems of linear equations by algebraic methods."
"38","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","PHYS1111","Physics I - Mechanics","Description: This course will give students a basic understanding of mechanics."
"39","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 2","Level 2",NA
"40","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","CEPR1020","Co-op and Career Preparation","Description: This series of modules will prepare students for job searching for their co-op work terms and for their future careers. Students will familiarize themselves with the co-operative education policies and procedures and will learn the expectations, rules, and regulations that apply in the workplace regarding social, organizational, ethical, and safety issues while developing an awareness of self-reflective practices. Students will reflect on their skills, attitudes, and expectations and examine available opportunities in the workplace. Successful completion of these modules is a requirement for co-op eligibility. Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"41","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","CHEM1140","Chemistry for Packaging","Description: This course first presents selected topics in atomic structure, periodic table, ionic and molecular compounds, states of matter, chemistry of water and air, characteristics of solutions, chemical reactions, ideal gas law, and quantitative relationships. The second part of the course covers the fundamentals of organic chemistry, including structure, nomenclature, properties, and important reactions of organic compounds, with functional groups also explained. The last part of the course introduces students to important aspects of polymers, including their classification, synthesis, properties, and applications. The course also includes a lab component, where the students carry out experiments to demonstrate the chemistry principles learned. Hours: 70Credits: 5Pre-Requisites: CoRequisites:"
"42","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN1280","Artios CAD Concepts","Description: The student will become familiar with ArtiosCAD Software in order to generate packaging drawings. The student will be able to design corrugated and paperboard containers to industry standard designs employing CAD software.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"43","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","IENG2030","Packaging Testing Lab 1","Description: Students will conduct laboratory experiments to determine properties of packaging materials and evaluate the response of packages and products to shock, vibrations, and compression. Students operate standard testing equipment and become familiar with industry recognized test methods and standards."
"44","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","MATH1195","Mathematics II","Description: This course is a continuation of the Mathematics I and is oriented towards the direct application of mathematical techniques to mechanical fundamentals. It covers exponential and logarithmic equations; problems involving ratio, proportion and variation, and plane analytic geometry.Hours: 42Credits: 3Pre-Requisites: MATH1085CoRequisites:"
"45","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","PHYS1120","Physics II","Description: As a continuation of Physics I, this course will examine more topics in physics."
"46","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"47","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 3","Level 3",NA
"48","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","COOP1160","Co-op Work Term (Packaging Engineering Technician)","Description: This co-op work term will provide students with college-approved work experience in an authentic, professionally relevant work environment. Students will be provided the opportunity to connect theory and practice by leveraging their academic training to develop a broad base of vocational skills. The practical applications of this work term will promote students' awareness of key concepts and terminology in their field, cultivate their problem-solving and decision-making capabilities, encourage their development of professional autonomy and collaboration, and enhance their capacity to analyze and reflect on their demonstrated abilities in the workplace.Hours: 420Credits: 14Pre-Requisites: CDEV1020 or CEPR1020CoRequisites:"
"49","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","Level 4","Level 4",NA
"50","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN2260","Rigid Container Design","Description: The student will be able to determine particular characteristics of the various rigid packaging forms used in packaging design. The benefits and applications of each rigid packaging medium will be discussed."
"51","Conestoga College Institute of Technology and Advanced Learning","Packaging Engineering Technician (Optional Co-op)","https://www.conestogac.on.ca//fulltime/packaging-engineering-technician","DSGN2270","3D Artios CAD","Description: This course continues to explore the use of the ArtiosCAD software using more advanced modeling of designed materials. Hours: 42Credits: 3Pre-Requisites: DSGN1280CoRequisites:"
