"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","FPLT1440","Field Placement I (Paramedic)","Description: This course provides the opportunity for the students to receive practical experience in an Ambulance Service within the community."
"5","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","PARA1300","Biomedical Science 1","Description: This theory based course will introduce the student to concepts in human anatomy and physiology and relate them to selected pathological conditions that the paramedic will be exposed to in the field. Taking a systems approach, topics in the course content will be expanded upon in second semester.Hours: 42Credits: 3Pre-Requisites: CoRequisites: PARA1325"
"7","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","PARA1310","Professional Practice 1","Description: This course is designed to provide the student with relevant knowledge of the federal and provincial legislation and regulations applicable to the field of Paramedicine."
"8","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","PARA1325","Paramedic Procedures 1","Description: This course will introduce the student to concepts and application of foundational primaryparamedic care theory. Students will also learn the various pre-hospital care equipment used to treat medical and trauma emergencies. Topics in this course will be continued and some will be expanded upon in second semester. Hours: 56Credits: 4Pre-Requisites: CoRequisites: PARA1300, PARA1330"
"9","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","PARA1330","Paramedic Patient Management 1","Description: This course is an introduction to vital signs, primary and secondary assessments for the management and support of basic airway, breathing and circulatory emergencies. Transportation of the patient while lifting with proper body mechanics will also be covered.Hours: 56Credits: 4Pre-Requisites: CoRequisites: PARA1300, PARA1325"
"10","Conestoga College Institute of Technology and Advanced Learning","Paramedic","https://www.conestogac.on.ca/fulltime/paramedic","PSYC1190","Psychology for Emergency Medical Services","Description: This course will examine psychological, sociological and cultural constructs as they relate specifically to the field of paramedicine. Topics will focus on issues that can affect the patient in an emergency situation as well as the paramedic in the course of his or her duties. Approaches to managing psychological and emotional crises will be explored."
