"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1020","Supportive Care Theory I","Description: This course intentionally introduces the PSW student to concepts and principles of supportive person-centred care including age-related changes and the development of relevant knowledge, attitudes, skills and judgment including evidence informed practice, to assist residents/patient/clients across the lifespan with personal care and routine activities of daily living. Nutrition will be discussed, incorporating assisting residents/patient/clients to eat who are at a high risk for choking. Infection control, safety, body mechanics, oxygen therapy and ostomy care will be examined."
"6","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1030","Supportive Care Practice I","Description: This course allows the learner to apply the knowledge from Supportive Care Theory I to the development and practice of the skills needed by the Personal Support Worker (PSW)."
"7","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1050","Structure and Function of the Body for Resident Centered Care","Description: This course introduces the PSW student to the normal structures and functions of the human body. The body systems, medical terminology and abbreviations, and age-related changes will be covered which provide the student with the foundation for understanding and describing the physiology behind the common diseases, disorders"
"8","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1060","Resident-Centered Care","Description: This course introduces the PSW student to the principles of person-centred care, health promotion, rehabilitation and restorative care with a focus on the PSW's role in supporting family members and care partners and assisting clients who are experiencing alterations in functioning."
"9","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1100","Professional Practice I","Description: This course introduces the PSW student to the foundational concept of being a professional including the role, responsibilities, accountability and scope of practice of the PSW as a member of the interprofessional team working in community, long-term care homes and/or hospital care settings. This course presents strategies for being a successful college student. Relevant workplace legislation and the importance of following established policies and procedures, ethical principles and professional boundaries in a variety of health care settings will be discussed. The student will be introduced to the roles of the interprofessional health care team with a focus on collaboration using a professional approach to provide supportive person-centered care across the lifespan. Current issues and trends in the health care delivery system and their impact on the PSW role will be examined."
"10","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","FPLT1190","Field Placement (Personal Support Worker) - Community","Description: This course will deepen the student's knowledge of person-centred care for the client living in the community setting."
"12","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","FPLT1340","Field Placement (Personal Support Worker) - Long Term Care","Description: This course provides the learner with opportunities to apply their knowledge and skills acquired throughout the program to a practical health care setting experience. The student will apply a resident centred approach, professionalism, accountability, safety, critical thinking, and communication skills while providing client care in the health care setting. The students will participate as a member of the interprofessional team to deepen their understanding of the PSW role in providing client centred care. The student will be provided opportunities to practice the role and responsibilities of the PSW in the community setting using simulated scenario based community learning experience. Students will participate in various scenarios preparing them for complex situations that may arise. Hours: 120Credits: 6Pre-Requisites: OHS1320, PSW1020 or PSW1021, PSW1050 or PSW1051, PSW1060 or PSW1061, PSW1030 or PSW1031, PSW1100 or PSW1101CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","FPLT1350","Field Placement (Personal Support Worker) - Consolidation","Description: This course will provide the PSW student with a preceptored pregraduate consolidation experience to facilitate the transition of the student from an emerging professional to a proficient professional. The student will apply and integrate knowledge, behaviour and strategies gained in previous learning experiences. The student will participate as a member of the interprofessional team under the guidance of a preceptor. Hours: 122Credits: 6Pre-Requisites: PSW1020 or PSW1021, PSW1030 or PSW1031, PSW1050 or PSW1051, PSW1060 or PSW1061, PSW1100 or PSW1101CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1595","Integrated Client Care","Description: The student will expand on the role of the PSW as it relates to supporting family members and assisting clients with complex care needs building on the principles of person-centered care."
"15","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1630","Supportive Care Practice II","Description: This course allows the learner to apply the knowledge from Supportive Care Theory II to the development and practice of the skills needed by the Personal Support Worker (PSW). Students will be given experiential learning opportunities to practice application of the skills required to assist the resident/patient/client with medications, taking and recording vital signs, enteral nutrition, catheter care, intravenous care, and specimen collection. The student will be provided opportunities to practice and demonstrate a resident-centered approach, professionalism, accountability, safety, critical thinking, and communication skills while providing client care."
"16","Conestoga College Institute of Technology and Advanced Learning","Personal Support Worker","https://www.conestogac.on.ca/fulltime/personal-support-worker?v=2002","PSW1640","Palliative Care","Description: This course prepares the PSW student to provide culturally relevant palliative and end of life care to support clients, families, and significant others."
