"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","CNTR1000","Environmental Controls","Description: This course will describe the environmental impacts and control methods for solid, liquid, gaseous & noise pollutants in a power plant. Students will explain the impact of liquid waste, gases & vapours on the environment and will describe the impacts operating facilities have on the environment and how to deal with these impacts.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","DRWG1990","Sketching and Communication","Description: Students will learn the different types, and proper use of plant communication systems."
"5","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","ELEC1445","Electricity","Description: In this course students will learn the concepts of basic electricity and simple calculations using voltage, current, resistance and power. Ohm's law, basic principles of magnetism, the use of electrical metering devices, the operating principles of the various types of AC and DC motors and generators, and the operating principles, construction and maintenance of transformers will also be covered. Safe operation of all electrical equipment is also covered.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","ETR1115","Employment and Job Search Skills","Description: The student will examine the skills that employers need in today's workplace:"
"7","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","MATH1480","Applied Math and Elementary Mechanics","Description: This Course will cover basic mathematical operations involving fractions, decimals and percentages using SI and Imperial units. Student will be able to describe ratios and proportion, transpose equations to find values for different variables in a formula, describe and calculate various types of measurement and volumes and perform simple calculations involving SI and imperial units. The course also covers terms used in the study of mechanics and the mathematical relations pertaining to mechanics.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","MECH1305","Elementary Chemistry and Thermodynamics","Description: In this course students will be able to explain basic chemistry principles, basic types of matter and their properties, the principles of thermodynamics including the laws of thermodynamics and the modes of heat transfer, temperature and thermal expansion, specific, sensible and latent heat, thermodynamics of steam, steam tables, interpolation. Students will also perform heat calculations in metric and imperial measurement systems. Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","MECH1310","Piping","Description: In this course students will discuss the basic types of piping, piping connections, supports, drainage devices and insulation. Students will learn to sketch and describe standard valve designs, piping arrangements and steam system pressure-reducing valves. Student will apply skills of typical valve maintenance requirements and the operation of specialized boiler valves.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Power Engineering Techniques - 4th Class","https://www.conestogac.on.ca/fulltime/power-engineering-techniques-4th-class","MECH1325","High Pressure Boiler Design, Combustion, Operation Feedwater","Description: This course covers development of boiler design, terminology, firetube, watertube and electric boiler construction, support, suspension and refractory."
