"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","PNUR1128","Nursing Concepts 1: Assessment","Description: The student will gain the necessary knowledge and anticipatory judgment to perform assessments, promote health and wellbeing. The student will recognize health as a holistic experience determined by the complex interaction of psychosocial, economic and environmental factors and the individual. Gordon's functional health patterns will provide the framework for discussing health, its promotion and planning care. Concepts in human physiology will be integrated as part of nursing assessments.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","PNUR1143","Human Physiology","Description: In this course, the student will examine the normal anatomy and physiology of the human body system."
"7","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","PNUR1153","Introduction to Pharmacotherapeutics 1","Description: The student will prepare for safe administration of medication. The necessary terminology, dosage calculations and the rights for medication administration will be employed. Introductory concepts in pharmacotherapeutics and pharmacokinetics will also be examined. Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","PNUR1157","Professional Nursing 1","Description: The student will begin to develop the necessary attitudes, skills and abilities required for professionalism in nursing, therapeutic relationships and caring in person-centred practice. The role of the Practical Nurse will be defined with the introduction of Professional Nursing Organizations and corresponding accountabilities and responsibilities.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","PNUR1165","Adult Development and Aging","Description: The course is designed to introduce students to gerontology with a purposeful, integrated focus on the older adult from a holistic perspective. The student will identify and recognize normal aging changes, developmental tasks, geriatric conditions and syndromes, communication strategies, and assessment skills in the care of the older adult and their caregivers. Promotion and maintenance of health will be discussed and explored with respect to issues impacting nursing care."
"10","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","PNUR1175","Information and Communication Technologies","Description: This online course will provide a foundation for using electronic media in health care and as a nursing professional. The student will discover the basic functions of electronic media as well as the more complex professional, legal, and ethical aspects of electronic communication. Concepts in Health Informatics and Health Literacy will be examined. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","PNUR1180","Nursing Lab and Practice 1","Description: The student will apply theory to practice while developing clinical skills required to assist with activities of daily living (bathing, feeding, toileting, ambulating) and physical assessment including interviewing. The student will be expected to establish and maintain a safe environment for themselves and their clients and reflect on their professional development. There will be opportunity to demonstrate newly learned skills in simulated and real-life settings.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Practical Nursing","https://www.conestogac.on.ca/fulltime/practical-nursing","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
