"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","ATST1010","Academic Upgrading","Description: This course will prepare students for entry into trades and apprenticeship."
"3","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","CARP1850","Introduction to Residential Carpentry - Wood Frame Construction and Interior Finishes","Description: In this course, students will study materials and practices commonly used to complete the framing and interior finishes of a residential building. Students will learn proper procedures and methods for traditional wood platform framing as well as the application of finishes such as drywall, baseboard, and casing."
"4","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","COMP1127","Computer Applications","Description: Students will receive training on computer operating systems (Windows), as well as training on basic word processing and spreadsheets.Hours: 26Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","ETR1120","Employment Strategies and Workplace Exposure","Description: Students will prepare to enter the job market and will be given the opportunity explore a variety of workplaces in this course. Life-long career planning strategies will be the focus including networking, interview and researching skills; developing a personalized resume and cover letter; and understanding current labour market information. They will also develop and enhance skills in teamwork, decision making and goal setting. A variety of workplace tours will be included to increase their knowledge of the trade and industry.Hours: 36Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","OHS1400","Safety and WHMIS","Description: Review safe working practices, housekeeping, and hazard awareness, the use of personal protective equipment, safety legislation and regulations, WHMIS, lock-out/tag-out.Hours: 15Credits: 1Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","WOOD1300","Woodworking Theory Principles I","Description: In this course the student will be given an overview of cabinetmaking and woodworking, including different materials that are commonly used, basic hand tools and power tools and basic methods of joinery. Hours: 26Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","WOOD1310","Woodworking Shop Principles I","Description: In this course the student will have an overview of basic finishes that are applied to woodworking projects, including methods of application and current technologies."
"9","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","WOOD1320","Finishing Principles I","Description: This course provides an overview of basic finishes that are applied to woodworking projects, including methods of application and current technologies."
"10","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","CBNT1025","Materials Level 1","Description: Upon successful completion of this course the apprentice is able to describe the types, characteristics, processing and applications of lumber and wood materials used in the trade in accordance with the National Hardwood Lumber Association standards and Canadian Softwood Guidelines.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","CBNT1030","Hand Tools and Portable Power Tools Level 1","Description: Upon successful completion of this course , the apprentice is able to use and maintain hand tools and portable power tools in accordance with government safety regulations, manufacturers' recommendations and industry standards.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","CBNT1040","Stationary Machines and Production Sequences Level 1","Description: Upon successfully completion of this course, the apprentice is able to set-up, operate and perform production sequences on stationary machines in accordance with government safety regulations, manufacturers' recommendations and industry standards.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","CBNT1070","Cabinet Construction Level 1","Description: Upon successful completion of this reportable subject, the apprentice is able to perform basic cabinet design and construction procedures in accordance with government safety regulations and acceptable industry standards.Hours: 51Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Cabinetmaker/General Carpenter","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-cabinetmaker-general-carpenter","DRWG1243","Trade Drawings and Layout Level 1","Description: Upon successful completion of this reportable subject, the apprentice is able to produce drawings and layouts in accordance with the requirements of trade related projects and industry standards.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
