"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","ATST1010","Academic Upgrading","Description: This course will prepare students for entry into trades and apprenticeship."
"3","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","COMP1127","Computer Applications","Description: Students will receive training on computer operating systems (Windows), as well as training on basic word processing and spreadsheets.Hours: 26Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","ETR1120","Employment Strategies and Workplace Exposure","Description: Students will prepare to enter the job market and will be given the opportunity explore a variety of workplaces in this course. Life-long career planning strategies will be the focus including networking, interview and researching skills; developing a personalized resume and cover letter; and understanding current labour market information. They will also develop and enhance skills in teamwork, decision making and goal setting. A variety of workplace tours will be included to increase their knowledge of the trade and industry.Hours: 36Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","MOTV1180","Motive Power Safety and WHMIS","Description: In this course students will review safe working practices, housekeeping, hazard awareness, the use of personal protective equipment, safety legislation and regulations, and WHMIS.Hours: 15Credits: 1Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","MOTV1960","Basics of Heavy Equipment Service Theory","Description: The student will be given an overview of heavy equipment systems, plus the operation and interpretation of tools, diagnostic equipment and meters, including basic function and usage of trade related hand and power tools. A major component of this course will deal with part and component identification and location. This will also include hydraulics and pump operation theory.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","MOTV1970","Basics of Heavy Equipment Service Shop","Description: The student will be given an overview of heavy equipment systems, plus the operation and interpretation of tools, diagnostic equipment and meters, including basic function and usage of trade related hand and power tools. A major component of this course will deal with part and component identification and location. This will also include hydraulics and pump operation theory.Hours: 40Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1600","Basics of Heavy Duty Truck Systems Theory","Description: The course will introduce the student to the operation of tools and equipment in a truck shop environment. The course will include precision measuring equipment, shop safety, electrical systems introduction, general vehicle maintenance, cab controls, brake systems, drive trains, engine systems and fuel systems.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1610","Basics of Heavy Duty Truck Systems Shop","Description: The course will introduce the student to the operation of tools and equipment in a truck shop environment. The course will include precision measuring equipment, shop safety, electrical systems introduction, general vehicle maintenance, cab controls, brake systems, drive trains, engine systems and fuel systems in a practical shop setting. Hours: 40Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","WELD1930","Introduction to Oxy Fuel","Description: The students will have a basic coverage of theory and practical applications of oxy-fuel welding and cutting, brazing and soldering and heating applications. Students will learn the safe setup procedures for an oxy-fuel welding and cutting set, demonstrate heating and cutting, brazing applications and fusion welding of thin gauge material.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","WELD1940","Introduction to SMAW Process","Description: A basic coverage of theory and practical applications to the SMAW process, including electrode selection, and basic welding techniques. The students will learn electrode classifications, electrical principles, joint design and basic weld symbols. In the practical shop environment the student will practice stringers and fillet welds with different thicknesses and various electrodes.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","Level 2","Level 2",NA
"13","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1010","Trade Practices","Description: Demonstrate a basic working knowledge of recommended trade work practices; construction, operating principles, testing and servicing of tools and equipment, bearings, seals and sealants, fasteners, precision measuring equipment, personal safety and legalities, setup and safety for oxy-acetylene cutting and heating.Hours: 40Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1020","Fluid Power Systems","Description: Demonstrate a basic knowledge of fluid power fundamentals, components, graphic symbols and principles of operation. Demonstrate a basic knowledge of fluids, filters, conductors and connectors and setting up a proper maintenance schedule.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1030","Engine Systems","Description: Demonstrate a basic knowledge of the construction, engine types and components, operating principles, testing and servicing of diesel combustion engine assemblies, cylinder heads and valve trains, lubrication systems, cooling systems, intake and exhaust systems.Hours: 40Credits: 3Pre-Requisites: CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1040","Electrical Systems","Description: Demonstrate a basic working knowledge of the principles of electrical theory and laws, and use of electrical test equipment. Demonstrate an ability to trace, test and repair electrical circuits and components. Demonstrate a basic knowledge of electromagnetic devices and test and service batteries.Hours: 48Credits: 3Pre-Requisites: CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1050","Fuel Systems","Description: Demonstrate a basic knowledge of diesel fuel systems, injection principles, injection sub-systems and hydraulic injection systems.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1060","Drive Train Systems","Description: Demonstrate a basic knowledge of the construction, operating principles; testing and servicing of power train clutch assemblies, gearing fundamentals, countershaft manual transmissions, driveshafts, PTO's, universal joints and single drive axle assemblies.Hours: 32Credits: 2Pre-Requisites: CoRequisites:"
"19","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","TRCK1075","Wheel End Assemblies and Brake Systems","Description: Demonstrate a basic working knowledge of the construction, operating principles, testing and servicing of hydraulic brake and air brake systems, and wheel end assemblies.Hours: 32Credits: 2Pre-Requisites: CoRequisites:"
"20","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","Level 3","Level 3",NA
"21","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Truck and Coach/Heavy Duty Equipment Technician","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-truck-and-coach-heavy-duty-equipment-technician","FPLT1160","Field Placement (Pre-Apprenticeship Truck and Coach/Heavy Equipment Technician)","Description: Students will participate in on-the-job training using the apprenticeship training standards for the respective trade. The student will apply the skills taught in the in-school portion of the program and will demonstrate effective work habits, time management and organizational skills. Hours: 280Credits: 10Pre-Requisites: ETR1120CoRequisites:"
