"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","ATST1010","Academic Upgrading","Description: This course will prepare students for entry into trades and apprenticeship."
"3","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","COMP1127","Computer Applications","Description: Students will receive training on computer operating systems (Windows), as well as training on basic word processing and spreadsheets.Hours: 26Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","ETR1120","Employment Strategies and Workplace Exposure","Description: Students will prepare to enter the job market and will be given the opportunity explore a variety of workplaces in this course. Life-long career planning strategies will be the focus including networking, interview and researching skills; developing a personalized resume and cover letter; and understanding current labour market information. They will also develop and enhance skills in teamwork, decision making and goal setting. A variety of workplace tours will be included to increase their knowledge of the trade and industry.Hours: 36Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","MATH1295","Trade Calculations","Description: This course is an application oriented mathematics course in which the student utilizes basic mathematical operations including addition, subtraction, multiplication and division of whole numbers, decimals and fractions. In addition, students will use both the Imperial and International System of Units when solving problems in linear measurement, area, volume and mass. This course is designed to develop a proficiency in mathematics necessary for subsequent courses in Metal Fabrication and Welding Technology.Hours: 39Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","WELD1017","Introduction to Welding I","Description: This course will introduce the student to the concepts of Shielded Metal Arc Welding (SMAW) and the Gas Metal Arc Welding (GMAW) processes. Theory class will cover the safe setup and working practices of these processes as well as introduce the student to the fundamental concepts involved in each process operation. The shop component will see the student implement safe working practices along with welding skills development. Students will learn about the required equipment and demonstrate proper and safe setup procedures."
"7","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","WELD1025","Welding Industry Health and Safety","Description: This course will introduce the student to safety and WHMIS as it applies to the welding industry. Potential hazards associated with the major welding processes and how to work safely with these processes will be discussed."
"8","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","WELD1035","Introduction to Oxy Fuel","Description: This course will introduce the student to the concepts of oxy-fuel welding (OFW), brazing (OFB) and cutting (OFC). Theory class will cover the safe setup and working practices of these processes as well as introduce the student to the fundamental concepts involved in each process operation. The shop component will see the student implement safe working practices along with skills development in the area of OFW, OFB, and OFC."
"9","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","WELD1045","Introduction to Metal Fabrication","Description: In this course students will be introduced to the concepts of basic metal fabrication methods and principles. Emphasis will be placed on safety and on the proper selection, use and care of hand measuring and power tools. In addition, the student will be operating metal fabrication machines including plate shears, press brake and plate rolls.Hours: 46Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Pre-Apprenticeship Welder","https://www.conestogac.on.ca/fulltime/pre-apprenticeship-welder","Level 2","Level 2",NA
