"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIRE1300","Fire Fighter I Theory","Description: This course introduces the firefighter to the fire service. Topics include theory training on the following subjects: History of the Fire Service, Firefighter Health & Safety, Communications, Building Construction, Fire Behaviour, Personal Protective Equipment, Portable Fire Extinguishers, Ropes, Knots and Webbing, Search & Rescue, Illumination, Forcible Entry, Ladders, Ventilation, Water, Supply, Fire Hose, Fire Streams, Fire Protections Systems, Fire Control, Loss Control, Fire Origin, and Fire Safety Initiatives.Hours: 104Credits: 7Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIRE1310","Fire Fighter I Lab","Description: This course introduces the firefighter to the fire service. Topics include skills training on the following subjects: Firefighter Health & Safety, Communications, Personal Protective Equipment, Portable Fire Extinguishers, Ropes, Knots and Webbing, Search & Rescue, Illumination, Forcible Entry, Ladders, Ventilation, Water, Supply, Fire Hose, Fire Streams, Fire Control, Loss Control, and Fire Origin.Hours: 112Credits: 6Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIT1090","Vocational Fitness Standards I for Pre-Service Firefighter","Description: This course will introduce students to relevant bona fide vocational physical performance standards, assess their physical abilities against the identified test criteria and provide test-specific coaching.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","Level 2","Level 2",NA
"8","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIRE1320","Hazardous Materials Core Operations","Description: Hazmat training focuses on the recognition of a hazardous materials emergency, personnel safety, hazard assessment, and the notification of higher skilled emergency responders or technical response teams. Students will become familiar with the Emergency Response Guidebook and learn about the mandate and authority of the Canadian Transport Emergency Centre (CANUTEC). Students will explore topics such as placards, containers, materials Involved; determine whether materials have been released, PPE, emergency decontamination and the evaluation of the surrounding conditions. The students through collecting hazard and response information will develop a “risk based response” plan. Core Operations will also include the sign off of Product Control (NFPA 472, 2013 edition) mission specific section 6.6Hours: 56Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIRE1330","Fire Fighter II Theory","Description: This course builds on the skills from Firefighter I. Topics include skills training on the following subjects: Fire Department Communications, Scene lighting, Rescue Tools, Vehicle extrication, Technical Rescue, Fire Hose, Fire Streams, Fire Control, Fire Origin and Cause, Fire Protection Systems, Fire & Life Safety InitiativesHours: 56Credits: 4Pre-Requisites: FIRE1300, FIRE1310CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIRE1340","Fire Fighter II Lab","Description: This course builds on the skills from Firefighter I. Topics include skills training on the following subjects: Fire Department Communications, Scene lighting, Rescue Tools, Vehicle extrication, Technical Rescue, Fire Hose, Fire Streams, Fire Control, Fire Origin and Cause, Fire Protection Systems, Fire & Life Safety InitiativesHours: 112Credits: 6Pre-Requisites: FIRE1300, FIRE1310CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIRE1380","Fire and Life Safety Educator","Description: This course prepares the student to design and deliver sound public education programs that consider the needs of diverse audiences. It is based on NFPA 1035 Standard for Professional Qualifications for Public Fire and Life Safety Educator. Topics includes basic learning theories, community based programming, public relations, risk evaluation, and risk reduction strategies. Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Pre-Service Firefighter Education and Training","https://www.conestogac.on.ca/fulltime/pre-service-firefighter-education-and-training","FIT1100","Vocational Performance Standards II for Pre-Servce Firefighter","Description: This course will provide students with performance-specific coaching related to bona fide vocational physical performance criteria, and assess their physical abilities against the relevant test criteria.Hours: 28Credits: 2Pre-Requisites: FIT1090CoRequisites:"
