"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1560","Introduction to Cheese and History","Description: This course will introduce to the students the origins and history of cheese from the old world to the new world. The students will be familiarized with some varieties of cheese and tasting.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1570","Introduction to Cheese Making and Process","Description: This hands-on course will introduce the principle of cheese making and the various process steps from milk receiving to packaging.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1580","Applied Dairy Chemistry","Description: The student will be initiated to the concept of chemistry as applied to milk and dairy products. The topics covered will relate to the milk composition, pH, acidity and quality control when receiving raw milk. The composition analysis of milk and dairy product will be covered.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1590","Starter Cultures, Coagulants and Other Ingredients","Description: This course will expose the fundamentals of various dairy starters and their functionalities. The students will understand coagulant and other ingredients used during the various cheese manufacturing from hard cheese to soft cheese. Other topics will include the production of in house starter and ""Direct Vat Set"" starter cultures. The students will be exposed to the understanding of the development of phages produced by starter cultures and how to control them in a cheese manufacturing plant.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1600","Cheese Technology","Description: This course will cover all aspects of cheese production. The technology and process of various type of cheese will be coved in class setting as well as in the pilot cheese processing facility.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1610","Advanced Food Safety Training, Sanitation and WHMIS","Description: This course will enable the students to develop the habits needed for the preventive measure in hygiene, health and safety required in the food industry. Students will identify contamination sources, potential accident hazard in order to put in place corrective solution. Also the students will be required to obtain the WHMIS certification.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1620","Milk Pasturization and Process Control","Description: The students will learn how to operate the cheese production process units in particular the milk pasteurizer and its process control unit. The students will apply the operation of all process units for various cheese manufacturing. Some of these processes include milk separators, homogenizer, pasteurization, sterilization, cheese vat operation, molding and packaging.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Professional Cheese Making","https://www.conestogac.on.ca/fulltime/professional-cheese-making","FOOD1630","Cheese Sensory Evaluation","Description: This course will enable the students to learn various methods for cheese and dairy products sensory evaluation, such as"
