"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","COMM8040","Effective Writing","Description: This course is intended to develop the writing skills professionals require to succeed in business communications and academic studies."
"3","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8295","Project Leadership and Team Management","Description: Project leaders need to recruit, orient, maintain and motivate individuals and teams as part of their business strategies. This course will compare leadership theories and practices as they apply to the field of project management. Students will also learn how to create and manage teams, along with tactics to facilitate constructive problem-solving and decision-making. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8300","Introduction to Project Management","Description: This course provides the practical knowledge to prepare for starting and completing a project successfully. It will cover the components and tasks related to complex projects that often involve multiple functional teams and departments. You will explore how the knowledge areas of the Project Management Body of Knowledge (PMBOK® Guide) are applied during each phase of a project's life cycle as well as the processes related to successful project management. An overview of status reporting and the use of MS Project will be covered. This knowledge will help establish priorities and effectively manage your projects. It will be of particular interest to those students who have a long-term goal of attaining the Project Management Professional (PMP)® designation certified by the Project Management Institute. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8310","Project Planning - Scope and Quality","Description: Project managers need to ensure that the scope of the project is effectively managed from concept through to implementation. This course will focus on all aspects of scope management, including the link to company strategy, concept development, business case, contract management, requirements gathering, work breakdown, scope definition, and scope control. Directly related is the need to ensure that the project implements the scope as intended. Quality management techniques will be studied in detail. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8320","Stakeholder Management","Description: Organizations today and in the future, will be looking for employees and managers who possess a significant understanding of the principles and practices of influencing through effective communication and presentation skills. Students will analyse communication theory and their own personal communication styles and develop appropriate strategies for making formal and informal presentations. Students will simulate specific situational applications of effectual communication skills, thereby developing competencies to make strategic contributions to organisational success. This comprehensive approach to communication and presentation skills will address written, spoken, and electronic modes, as well as non-verbal communication and body language, in order to foster business-appropriate competencies for the professional.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8340","Business Operations","Description: This course provides an overview of the principles of management, operations, marketing, and accounting."
"9","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8360","Projecting Planning - Schedule and Budget","Description: This course will focus on the development of the project schedule and budget as a crucial part of the planning and control process."
"11","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8370","Project Risk and Issues Management","Description: This course builds on the knowledge acquired in the introductory Project Management course. Students will learn a structured multi-tiered approach that can be used to identify the different types of risks associated with projects such as technical, time, costs, quality and others."
"12","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8400","Advanced Project Planning and Control","Description: This course will cover advanced topics in project planning and control, which are either not covered or very briefly covered in the introductory Project Management course. Covered topics will include the Critical Chain method, the Line of Balance method, the S-Curve tool, Earned Value Management (EVM) and Project Management Dashboards as well as any emerging tools and techniques. Students will also be exposed to an online project management software tool, such as @task.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8460","Project Management - Capstone","Description: This course prepares the learner to write the (PMI) ® Certified Associate in Project Management (CAPM) ® certification exam. This exam is a valuable entry-level certification for project practitioners. Designed for those with little or no project experience, the CAPM® demonstrates your understanding of the fundamental knowledge, terminology and processes of effective project management. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8560","Project Management -","Applied Project"
"15","Conestoga College Institute of Technology and Advanced Learning","Project Management","https://www.conestogac.on.ca//fulltime/project-management","MGMT8750","Agile Project Management","Description: This course will prepare you to apply Agile concepts to manage projects. You will explore Agile values and principles along with how Lean has influenced Agile. Learn how to perform key agile functions such as user story creation, estimation, backlog and sprint planning, sprint execution and scrum, as well as, the use of information radiators to monitor sprint progress. Practical case scenarios will be utilized to teach the effective use of Jira software to manage many Agile functions. This course will be of interest to students who would like to pursue a career as a Scrum Master or become more familiar with Agile. Successful completion of this course meets the current requirements for students to write the Exin Scrum Foundations certificationHours: 42Credits: 3Pre-Requisites: MGMT8300CoRequisites:"
