"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","FIT1200","Vocational Fitness Standards I for Police Foundations and Protection, Security and Investigation","Description: This course will introduce students to relevant bona fide vocational physical performance standards, assess their physical abilities against the identified test criteria and provide test-specific coaching.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW1020","Introduction to Law","Description: The student will receive an introduction to Canadian law and the legal system by becoming familiar with the language of the law and terminology used throughout the administration of justice as well as exploring the practical application of common offence related statutes. Recognition of how ""law"" is established through judicial and legislative authority will be gained and the concepts and principles which form the structure of both civil and criminal law will be learned. The foundation of all government authority will be examined through an introduction to the Constitution Act, 1982, including the Canadian Charter of Rights and Freedoms. Completion of this course will serve as the framework for further applications of law.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW1060","Canadian Criminal Justice System","Description: This course provides an overview of the Canadian Criminal Justice System with a particular emphasis on the history, function, role and organization of Canadian law enforcement services. It will examine the major components of the criminal justice system from enforcement through the courts to correctional services.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW1210","Criminology","Description: This course provides an examination of various theoretical explanations of criminal and deviant behaviour including the sociological, biological and psychological perspectives. Criminological theory is related to various types of criminal activity. The reality of crime in Canada including victimology is examined through crime statistics and correlates of criminal behaviour. The impact on theory on the development and effectiveness of the criminal justice system is discussed with an emphasis on future trends within the system."
"8","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW1550","Introduction to Ethics and Values","Description: This course focuses on ethical issues faced by the individual as a person and more particularly as a professional with authority and responsibility for law enforcement. It will help the student clarify their values and establish a framework for ethical decision making. The course will focus the students' minds on the importance of moral philosophy as a component of the decision making process.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW1630","Law Enforcement Careers","Description: This course is designed to broaden students' knowledge of the various law enforcement careers available to them. An in-depth look at the duties, responsibilities, salary, hiring requirements, employment standards, and legislation of specific fields is included.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","SECU1090","Security Guard Fundamentals","Description: This course will provide students with the basics required for security guard training. Students will be introduced to knowledge about the security industry and the legislation that governs it. Through interactive class discussions and activities, they will develop basic security procedure skills, effective communication and professional decision making as a security guard. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","Level 2","Level 2",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW1140","Powers, Authorities And Liabilities","Description: This course is designed for any investigator in the private sector, private security professionals, and police officers who are seeking a clear, concise and succinct explanation of the legal authorities they possess, the constraints they work under, and the liabilities they may face."
"13","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW1560","Human Rights","Description: Human rights and diversity issues play an important role in Criminal Justice practice. This course will provide students with the opportunity to examine current issues and social problems relating to our current laws and multi-cultural society. It will provide an understanding of criminal law, investigations, and corrections in the context of today's diverse society. Students will also examine the issues surrounding race, gender, social class, crime, and their impact on the criminal justice system.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW2050","Criminal Code","Description: In this course students will analyze specific elements of selected Criminal Code offences. These include offences against the person, against property and against public order. Students will research case law and assess its impact on criminal offences and use case law to argue or defend decisions. Students will also develop police report writing skills.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","PLCE2080","Conflict Management","Description: This course is designed to develop the ability of the participant to intervene in conflict and crisis situations with competence and confidence. The conflict situation will be examined from its inception through intervention by either police or other law enforcement agencies. Various problem-solving skills and non-violent intervention techniques are discussed along with intervention strategies directed toward specific incidents. Behaviour patterns that may lead to violent encounters are analyzed and the appropriate legal responses to these encounters are learned. These responses emphasize both officer and public/client safety through awareness and preparation.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","SOC2010","Youth Justice","Description: This course will follow the young offender through the criminal justice system. In addition, the student will be able to summarize and appraise disposition alternatives which may be employed with a view to aiding and rehabilitating a young offender while facilitating public safety, in the context of the Youth Criminal Justice Act and other relevant legislation.Hours: 42Credits: 3Pre-Requisites: LAW1060CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"18","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"19","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","Level 3","Level 3",NA
"20","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","ETR2200","Career Preparation for Law Enforcement","Description: The Career Preparation course will introduce and prepare students for the application processes in the areas of security, corrections, policing, and Canadian Border Services Agency.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"21","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW2000","Security Fundamentals I: Interviewing And Investigation","Description: The Security Fundamentals course is designed to introduce the students to a broad overview of the practical skills required in the security industry. These skills are essential in the areas of security and all areas of law enforcement."
"22","Conestoga College Institute of Technology and Advanced Learning","Protection, Security and Investigation","https://www.conestogac.on.ca/fulltime/protection-security-and-investigation?v=2001","LAW2070","Applied Communications in Law Enforcement","Description: Students will develop and enhance their reading, listening, and observational skill sets for policing, security and investigations, and will demonstrate effective presentation skills. They will be introduced to key reporting and communication practices. Additionally, they will demonstrate notebook entry writing and incident reports following guidelines used by law enforcement agencies.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
