"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","MDIA1000","Digital Media I","Description: Digital media is an essential component of the PR practitioner's toolkit and requires specialized knowledge and skill. This course provides students with a systematic approach to planning, writing and designing communication for an organization's web page. Students will study examples of organizational content properly packaged to meet PR objectives and will gain practical skills in digital content creation and management.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","PRLN1020","Introduction to Public Relations","Description: This introductory course provides a theoretical and historical foundation for the practice of public relations. Students will learn the skills needed to be a practitioner as well as the models of public relations as it is practiced in Canada. Topics include: the history of public relations, the scope and nature of public relations roles, and PR ethics and issues. Students are exposed to specialized PR functions such as media relations, investor relations, employee communications, public affairs, community relations, and social media management. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","PRLN1060","Research for Public Relations","Description: This introductory course provides an overview of the role research plays in the practice of public relations. Students learn the necessity of gathering, processing, transferring, and interpreting information. Lectures and demonstrations deal with research methods and techniques for qualitative and quantitative, primary and secondary, and formal and informal research using library, database, and Internet sources. Assignments provide students with experience in gathering and analyzing research data in support of a PR strategy or campaign.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","PRLN1145","Event Planning for Public Relations","Description: This course introduces the student to the field of event planning for public relations. Students will have the opportunity to design, budget, plan, implement and evaluate a special event. The world of corporate sponsorship and planning for profit and nonprofit organizations is explored as well. They will experience the value of relationship and negotiation with vendors and suppliers to the special event industry.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"9","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","DSGN1330","Principles of Design","Description: This lab course provides an overview of the role graphic design plays in the practice of public relations. Students learn and apply basic design principles such as shape, spacing, rhythm, colour, and working with type. By applying layout principles to creative projects, students learn techniques, methods, basic tools, and terminology required to communicate with graphic designers and develop skills to complete basic designs for public relations materials.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","PRLN1050","Writing for Public Relations","Description: This course is designed as an introduction to the role of the public relations writer and the documents written by public relations writers on the job. Students learn the basics of public relations writing, with emphasis on the ability to gather information, assemble and check facts and compose documents using proper style and voice. These deliverables include news releases, media kits, web and social media content, and speeches and presentation materials. Documents are evaluated on their clarity, creativity and accuracy.Hours: 56Credits: 4Pre-Requisites: COMM1085CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Public Relations","https://www.conestogac.on.ca/fulltime/public-relations","PRLN1090","Multimedia and Emerging Technologies","Description: Multimedia is content that uses a combination of content forms, including text, audio, images, animation, video and interactive content. This course provides an overview of the role audio visual and multimedia tactics play in the practice of public relations. Students learn the purpose and value of multimedia in helping to communicate an organization's message more effectively. Students will gain exposure to and assess the value of technologies available to PR practitioners, as well as emerging technologies expected to influence the future practice of public relations. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
