"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","ADVT8120","Digital Tools and Analytics","Description: This course exposes students to a variety of industry standard and emerging digital tools and networks used in integrated communications."
"3","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","ADVT8150","Advertising and Media Planning","Description: Advertising remains an important component within public relations strategy, particularly in the field of marketing communications. Advertisements in a variety of channels, direct response campaigns, and sales promotions can all play a role in an integrated communications plan. Students will learn how to assess consumer behaviour; how to integrate creative strategy into a communications plan; how to choose from a variety of media channels based on the organizations' needs, budget and objectives; and how to present these in an integrated plan that garners support and understanding from senior management.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","ADVT8160","Creative Strategy and Multimedia Tools I","Description: Communication professionals need to know how to work with designers as well as how to create designed collateral."
"5","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","FIN8250","Budgets and Finance for Communicators","Description: Communicating the financial impacts of an integrated communications plan to senior executives is a critical skill if budgets are to be maintained and enhanced. This course will prepare students to assess the return on investment of communications strategies. Students will learn how to determine the true costs within public relations and advertising plans, whether online or offline. Students will learn how to read financial reports, how to set a budget, and how to present it in an integrated plan that garners support and understanding from senior management.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","MKT8290","Marketing","Description: This course explores marketing principles with an overview of the marketing process from product or service development up to launch/promotion with a focus on the analytical techniques useful to marketing management. Students explore the factors a marketer will consider when introducing a new or extended product or service, learn how to analyze the public response to products and services, and assess how new and emerging technologies are used in the marketing planning and evaluation processes. The social, economic, geographic, legal and competitive issues that impact product development, packaging, and distribution channels are examined. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","PRLN8100","Public Relations","Description: Public relations is a strategic approach to conducting business that encompasses at its core the reputation of the organization and its relationships with various stakeholders including internal and external publics."
"9","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","PRLN8115","Writing for Public Relations","Description: Good technical and creative writing skills are foundations to a career in public relations and this first semester course will introduce students to various strategies that are designed to support and enhance these skills."
"10","Conestoga College Institute of Technology and Advanced Learning","Public Relations - Integrated Communications  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/public-relations-integrated-communications","RSCH8050","Research for Communication Professionals","Description: This course introduces students to the principles of good research design and how it is applied during the process of integrated communications planning. The importance of quality research to the planning process is emphasized. Students explore and apply both primary and secondary research sources in the development of marketing and communications strategy."
