"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","ELEC1125","Electrical Fundamentals","Description: The apprentice will learn to describe the operating principles and fundamentals of an electrical system and components used in refrigeration and air conditioning systems.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","MECH1850","Trade Practices","Description: The apprentice will learn to describe the responsibilities of employers and employees relating to safe working practices and protection of the environment in accordance with applicable Acts, Regulations, Legislation, and Codes.Hours: 16Credits: 1Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","MECH1860","Mechanical Cooling Cycle Fundamentals","Description: The apprentice will learn to describe, in detail, the fundamentals of a mechanical cooling cycle.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","MECH1870","Mechanical Cooling Cycle Components","Description: The apprentice will learn to describe the operating principles and function of the mechanical cooling system components and accessories.Hours: 48Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","MECH1880","Installation of Mechanical Cooling Systems","Description: The apprentice will learn to demonstrate procedures for the installation and commissioning of mechanical cooling systems.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","MECH1890","Basic Mechanical Procedures","Description: The apprentice will be able identify procedures for the inspection and basic maintenance of mechanical cooling systems and components.Hours: 16Credits: 1Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","WELD1810","Cutting, Soldering, Brazing and Welding","Description: In this course, you are introduced to the concepts of Oxy-Fuel Welding (OFW), Air Acetylene Welding (AAW), Brazing (OFB), and Oxy-Fuel Cutting (OFC). Theory class will cover the safe set up and working practices of these processes as well as introduce you to the fundamental concepts involved in each process operation. The shop component will enable you to implement safe working practices along with skills development in the area of OFW, AAW, OFB, and the OFC process. You will practice the butt, lap and t-joint on mild steel using the above welding processes and use the OFC process to make straight and bevel cuts, pierce holes and cut shapes out of mild steel plate; and you will learn about the required equipment and demonstrate proper and safe setup procedures.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.conestogac.on.ca/fulltime/refrigeration-and-air-conditioning-systems-mechanic-apprenticeship","DRWG2300","Plans, Specifications, and Load Calculations – Industrial, Commercial, Institutional (ICI)","Description: The apprentice will learn to interpret building plans; demonstrate freehand sketching; gather data for the refrigeration storage of products; and calculate heat gain in refrigeration and air conditioning systems for Industrial, Commercial, or Institutional (ICI) applications.Hours: 24Credits: 2Pre-Requisites: CoRequisites:"
