"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","COMP1927","Introduction to Microsoft Word and Excel","Description: This course introduces students to the computer skills required for success in school and the workplace."
"3","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","MATH1640","Mathematics for Technical Applications","Description: This course when successfully completed will provide an understanding of terminology, basic concepts and applications of fractions, ratio, proportion, percent, unit conversion, pre-algebra and basic algebra as related to trade problems and construction layout. The fundaments of SI will be discussed to assist students in developing a functional knowledge of the metric system. Students will be required to perform occupational calculations in the imperial and metric systems and to solve technical problems pertaining to trade problems and construction layout.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","OHS1150","Safety Requirements in the Industrial Environment","Description: This course is designed to give students the knowledge and understanding of various safety-related topics pertinent to construction and industrial environments. Students will also be introduced to lifting and moving loads in a controlled and safe manner. This course will also provide students with the basic knowledge required to work safely in areas exposed to fall hazards. A review of legislative requirements, due diligence, WHMIS, occupational health and safety requirements will also be discussed. The student will also address the purpose, and basic concepts in the operation of Elevating (Aerial) Work Platforms (AWP).Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","OHS1270","Hoisting and Rigging Safety","Description: This course provides the knowledge needed for those that will be assisting or working around lifting operations. Specific topics include: hoisting, rigging hazards, fibre ropes, knots and hitches, hardware, wire rope and slings, rigging tools and devices, and crane operations which covers safety, hand signals, electric hoists, and practical exercises using the overhead crane.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1300","Energy and Electricity Fundamentals","Description: Students are introduced to the theory relating to different types of energy."
"8","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1330","Essentials of Solar Photovoltaic (PV) Design and Installation","Description: Master the essential knowledge and skills needed to jump start your career in the growing Solar Industry."
"9","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1340","Photovoltaic Grid Design and Installation:","Residential and Small Commercial"
"10","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","BUS1330","Small Business and Entrepreneurship","Description: The small business and entrepreneurship sectors are among the fastest growing in today's business economy."
"12","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","CDEV1830","Career Success","Description: This course focuses on the skills needed to conduct a successful job search. Students will explore the labour market and identify trends that may impact their future careers. They will develop skills for an effective job search including networking, self-marketing documents and tools as well as interview skills. Mock interviews will provide the opportunity for practice, feedback and reflection as students prepare for future interviews. Students will develop a personalized job search plan to support their future careers. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","DRWG1355","Introduction to AutoCAD","Description: This introductory course is designed for the person who has limited"
"14","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1310","Wind Power Theory and Practice","Description: Through a series of lectures and labs, this course will provide students with the background knowledge and hands-on skills to calculate the potential electrical energy available from wind for a given location, install a wind turbine system, and evaluate the performance of a wind turbine."
"15","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1325","Hydro, Fuel Cell and Biofuel Renewable Energy Concepts and Practices","Description: This course is intended to introduce students to the theory of hydro including micro-hydro, biofuel and fuel cell technologies."
"16","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1350","Photovoltaic Off Grid Design and Installation","Description: Through a series of lecture and labs, this course will introduce the students to the design and installation concepts of a PV Stand Alone and an Off Grid System."
"17","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1361","Canadian GeoExchange Coalition Installers' Course","Description: This course is designed to give the student skills and knowledge needed to provide a rationale for the use of a ground source heat pumps (GSHP) and to discuss the benefits of GSHPs."
"18","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1380","Residential Solar Hot Water System Installation","Description: Through a series of lectures and labs, this course will provide students with the background knowledge and hands-on skills necessary to install a residential solar hot water system."
"19","Conestoga College Institute of Technology and Advanced Learning","Renewable Energy Techniques","https://www.conestogac.on.ca/fulltime/renewable-energy-techniques","TECH1430","Building Green","Description: Students explore many facets of green building in the construction industry from a contractor`s perspective. Students will gain knowledge to assist in the bid, procurement, build, and close out phases of green building projects. Renewable and non-renewable energy sources, project delivery methods, Canada Green Building Council (CaGBC), and various ratings systems such as LEED, Green Globes, Net Zero Energy etc. with emphasis on new construction are addressed.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
