"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","RTH1010","Cardiovascular Anatomy and Physiology","Description: This course will cover in detail the anatomy and physiology of the cardiovascular system. Topics to be discussed are the blood, heart and blood vessels, hemodynamics, invasive and non-invasive assessment of the cardiovascular system, fetal circulation and lymphatic circulation.Hours: 42Credits: 3Pre-Requisites: CoRequisites: RTH1020, RTH1035"
"6","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","RTH1015","Field Studies I","Description: This course is an introduction to the role of the Respiratory Therapist in a wide variety of settings. It provides the students with exposure to many areas of practice. The student will be given the opportunity to observe respiratory related skills in a patient care setting.Hours: 28Credits: 1Pre-Requisites: CoRequisites: RTH1010, RTH1020, RTH1055"
"7","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","RTH1020","Respiratory Anatomy and Physiology","Description: A detailed study of the structure and function of the respiratory system."
"8","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","RTH1035","Applied Science","Description: This course introduces the student to the basic principles of chemistry, microbiology and physics necessary for the study of Respiratory Therapy. This course also introduces the science behind various diagnostic tests and patient monitoring equipment.Hours: 28Credits: 2Pre-Requisites: CoRequisites: RTH1055"
"9","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","RTH1055","General Therapeutics","Description: This course covers key aspects of Respiratory Therapy equipment and therapeutics. This course focuses on the principles and practice of oxygen and aerosol therapy."
"10","Conestoga College Institute of Technology and Advanced Learning","Respiratory Therapy","https://www.conestogac.on.ca/fulltime/respiratory-therapy","RTH1200","Anatomy and Physiology","Description: This course provides learners with an overview of the anatomy and basic physiology of the human body."
