"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","BUS8020","Organizational Behaviour","Description: This course is a study of organizational strategy, culture, structure and change in the current workplace. The course addresses theories of leadership and various kinds of power. It additionally examines the behaviour of individuals working in solitary or teams, as well as the thought processes and structural context surrounding their actions. Theories relating to conflict and motivation in the workplace will guide students in their identification and application of models that address issues and challenges relating to both."
"3","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","BUS8375","Business Research and Data Analysis","Description: This course explores basic statistical and research methods and their application to data analysis."
"4","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","HRM8130","Human Resources Management","Description: The primary focus in this introductory course is to offer the student an in depth view into the world of the Human Resource (HR) Management functions and each of its specialties. The course emphasis is on the skills and techniques utilized by HR professionals in each of their specialty areas, and how they are related to the organization's overall strategy and objectives. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","INFO8060","Computer Skills for Business","Description: This course is based on end-user computer skills for global business managers. The course focuses on students achieving a recommended level of information and communication technologies (ICT) competence to enable effective employability. Students will learn to apply Word processing skills to create properly formatted documents including collaboration tools for working in a globally distributed team. Data analysis and reporting tools in Excel will be utilized to create executive summaries of data used to solve business problems. Students will learn to integrate information between software to create powerful presentations. Online communication tools such as email, shared calendars and social media will be explored.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","MGMT8500","Accounting and Financial Management","Description: This course is designed to provide business managers with knowledge of Financial and Managerial Accounting required to support decision making. This course introduces business managers to quantitative and qualitative techniques and to communication strategies that enable reporting findings in an engaging and professional manner. Additionally, they are introduced to the essential functions including budgeting, the interpretation of financial information and the effective communication of operational and financial strategies.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","MKT8035","Global Markets and Strategies","Description: This course is designed to provide students with an introduction to marketing concepts and terminology. It examines the importance of global marketing within organizations and society in general."
"9","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","OPER8340","Global Supply Chain Management","Description: The goal of this course is to familiarize students with the discipline of supply chain management (SCM), which enables firms to better coordinate inbound and outbound information and material flow. In addition, supply chain management impacts customer service activities relevant to logistics, operations and marketing processes. Topics include the relationship between profitability, supplier management, customer service, quality, and productivity; management of incoming supplies and services; managing service capacity and wait times; and finally discussions of internal and external customer service, one of the primary objectives of supply chain management. The course is designed to examine a firm as a complete business, considering the global environment.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Strategic Global Business Management","https://www.conestogac.on.ca//fulltime/strategic-global-business-management","Level 2","Level 2",NA
