"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","ADVT8101","Advertising for Integrated Marketing Communications","Description: This course explores the principles of advertising and promotion for products and services in business-to- consumer and business-to-business markets as a part of integrated marketing communications."
"3","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","COMM8260","Writing Essentials","Description: Employers in the marketing communications field expect a high level of competence in English writing."
"4","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","MKT8071","Sales","Description: This course introduces students to the sales process for both business-to-business and business-to-customer transactions. Students learn strategies for selling creative concepts through numerous role playing exercises. Students examine the negotiation process and strategic approaches to develop, strengthen, and manage customer relationships.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","MKT8291","Marketing","Description: This course explores marketing principles with an overview of the marketing process from product or service development up to launch/promotion with a focus on the analytical techniques useful to marketing management. Students explore the factors a marketer will consider when introducing a new or extended product or service, learn how to analyze the public response to products and services, and assess how new and emerging technologies are used in the marketing planning and evaluation processes. The social, economic, geographic, legal and competitive issues that impact product development, packaging, and distribution channels are examined. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","PLAN8010","Strategic Planning","Description: This course explores the application of a strategic approach to integrated communications planning to create a unifying discipline that maximizes communications impact on consumer awareness, attitude and behaviour. Students learn to create links between corporate planning and integrated communications planning.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","PRLN8101","Public Relations","Description: Public relations is a strategic approach to conducting business that encompasses at its core the reputation of the organization and its relationships with various stakeholders including internal and external publics."
"9","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","RSCH8060","Secondary Research for Communications Professionals","Description: This course is an introduction to the core principles of research, and their relevance and importance to strategic planning and informed decision making. The focus for this course is on secondary research. Instruction on how to access the industry-standard databases and resources is emphasized. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Strategic Marketing Communications","https://www.conestogac.on.ca//fulltime/strategic-marketing-communications","ADVT8121","Digital Tools and Analytics 1","Description: This course introduces students to a variety of industry standard and emerging digital tools used in marketing communications with an emphasis on the business use of social media networks and social media marketing. Students focus on how to integrate online tactics with offline strategies as a part of marketing communications planning that understands audience expectations and meets client needs."
