"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","COMP8161","ArtiosCAD I","Description: The student will learn the use of ArtiosCAD to develop packaging design concepts."
"3","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","DSGN8191","Structural Design - Paperboard","Description: This course will cover the physical properties and attributes of paperboard as well as the different manufacturing processes involved in the manufacture of a paperboard container."
"5","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","DSGN8201","Structural Design - Rigid Containers","Description: This course will cover the physical properties and attributes of various rigid packaging forms as well as the different manufacturing processes involved in the manufacture of rigid containers."
"6","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","DSGN8211","Structural Design - Corrugated","Description: This course will cover the physical properties and attributes of corrugated packaging as well as the different manufacturing processes involved in the manufacture of a corrugated container."
"7","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","IENG8001","The Packaging Manufacturing Industry, Product Protection and Costing","Description: In this course students will learn about the sectors that make up the packaging manufacturing industry, including manufacturing methods used and their importance in industry."
"8","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","QUAL8180","Lean Six Sigma","Description: This course will provide students with specific tools that can be extremely effective in managing and leading continuous improvement across all functions of an organization. Students will also be provided with effective methods to communicate at all levels of the organization to gain support for the types of changes that result from continuous improvement implementations and to drive increased employee engagement.This course will demonstrate how two complementary continual improvement philosophies have been combined to provide a methodology that achieves rapid improvements in customer satisfaction, cost, quality and process speed. Through the application of a structured approach students will learn how to reduce waste, minimize defects and eliminate non-value-added activities in any manufacturing or transactional processHours: 70Credits: 5Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","COMP8210","ArtiosCAD II","Description: The student will explore the use of 3D modeling and animation in the design process as it applies to the packaging industry.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","DSGN8221","Structural Design - Flexible Containers","Description: This course will cover the physical properties and attributes of various flexible packaging forms as well as the different manufacturing processes involved in the manufacture of flexible containers."
"12","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","IENG8011","Packaging Testing Technology","Description: This course will use testing technology and methods commonly used by industry, to develop in the student the skills necessary to describe the specific characteristics of different packaging systems."
"13","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","IENG8021","Packaging Regulations, Specifications and Supply Chain","Description: The Consumer Packaging and Labelling Act and the Food and Drug Act will be studied."
"14","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","IENG8031","New Packaging Development, Trends and Innovation","Description: This course will cover in detail the process followed in industry to develop new packaging materials and systems, from concept to market."
"15","Conestoga College Institute of Technology and Advanced Learning","Structural Packaging Design and Management","https://www.conestogac.on.ca//fulltime/structural-packaging-design-and-management","MGMT8550","Introduction to Project Management","Description: This course provides the tools to manage and monitor the progress of complex projects across cross-functional teams of employees in multiple departments."
