"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"3","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","MGMT8250","Management and Leadership Skills","Description: Organizations are complex and are becoming even more so given the rapid pace of technological change, globalization, and the problems and competitive pressures that these bring. Leaders need to be able to lead and motivate individuals and teams in the organization to bring about continuous improvement, and thereby compete in the global economy. To that end this course will cover fundamental concepts of effective management and leadership in the global economy. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","OPER8010","Global Procurement Management I","Description: This course will provide students with a comprehensive study of purchasing practices and applications in the context of both domestic and global supply chains, emphasizing ethical purchasing practices and corporate social responsibility. Students will learn an integrated approach from a management perspective to develop purchasing and supply chain strategies that minimize risk and contribute to overall business objectives. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","OPER8020","Global Logistics Management I","Description: This course is focused on the functions and objectives of a logistics manager, whether operating domestically or in an international setting. Students will investigate examples of the classic cost/service tradeoff that is the major challenge for all supply chain managers. The major emphasis of the course is on the utilization of strategies to add value to a company's supply chain by either reducing costs, improving efficiency or effectiveness, or improving customer service. This course will demonstrate the important role of the logistics management to companies by examining international vendors, customers and distribution centres with the goal of maximizing company productivity in a global economy and taking advantage of global opportunities. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","OPER8030","Business Process Integration and Enterprise Resource Planning Systems","Description: This course will focus on core business processes that are typically used by a multi-national company to procure, manufacture, manage customer orders, and financially track its business functions. Students will gain in-depth understanding of business process integration by utilizing an active learning approach which will include the hands-on use of the SAP ERP (Enterprise Resource Planning) system, focusing on business process integration, which is key to success in business. Students will also utilize ERPsim, a game-based simulation, to learn how to manage companies from end-to-end using the actual SAP ERP in a real-time simulated competitive environment focusing on operations excellence, analytics, and ERP interaction.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","OPER8040","Demand and Customer Relationship Management","Description: Demand Management (DM) and Customer Relationship Management (CRM) complement each other. DM is a business process included in Sales and Operations Planning (S&OP), or Integrated Business Planning (IBP). It involves forecasting, planning and managing the aggregate demand for a company's products and services. On the other hand, CRM focuses on building and maintaining profitable relationships with individual customers. An effective CRM process can assist an organization to increase market share, profit and customer satisfaction and help combat competitive pressure. This course explores DM and CRM as a key strategic processes within all organizations and a vital aspect of any successful supply chain, whether the relationship is business to consumer (B2C) or business to business (B2B). Students will gain experience in demand forecasting, use CRM technology and apply CRM fundamentals within the context of case studies related to multinational companies. Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","OPER8340","Global Supply Chain Management","Description: The goal of this course is to familiarize students with the discipline of supply chain management (SCM), which enables firms to better coordinate inbound and outbound information and material flow. In addition, supply chain management impacts customer service activities relevant to logistics, operations and marketing processes. Topics include the relationship between profitability, supplier management, customer service, quality, and productivity; management of incoming supplies and services; managing service capacity and wait times; and finally discussions of internal and external customer service, one of the primary objectives of supply chain management. The course is designed to examine a firm as a complete business, considering the global environment.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Supply Chain Management - Global","https://www.conestogac.on.ca//fulltime/supply-chain-management-global","CDEV8130","Career Management","Description: This course focuses on career management skills needed to navigate the evolving workplace. Students will evaluate their skills, attitudes, and expectations within their chosen careers and explore emerging trends in the workplace. Students will refine their networking strategies and create marketing documents to position them for success. Mock interviews will provide the opportunity for practice, feedback, and reflection as students prepare for future interviews. Students will explore communication strategies that support workplace success and advancement. By the end of this course, students will have created a personalized career management plan. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
