"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","BUS8450","Sustainable Operations I","Description: Through case studies, field work and independent research, students acquire the language, framework, and tools necessary to complete a corporate action plan for sustainable operations. Students will research the industry and sector relevant programs and best practices to improve business productivity coupled with strategies to assist clients in the transition to sustainable operations. Students will gain a thorough understanding of how to guide continuous improvement through the application of environmental management systems. Analysis of government jurisdictions, regulatory agencies, and legislation related to operational compliance and sustainability is a key area of focus. Students will critique implementation decisions, and risk factors using data in organizations moving towards and practicing a sustainable model.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","BUS8460","Corporate Social Responsibility and Business Ethics","Description: This course has students build their knowledge of Corporate Social Responsibility (CSR) and business ethics through both theory and practice. Students leave the course fully equipped to step into relevant positions in industry. They will understand the history of CSR and the transformational shift that is currently seeking to further embed CSR standards in organizational practice. They will be equipped with leading innovation theories as well as tools to help organizations shift towards CSR solutions, based on a strong business case.Students will work with industry partners to move their CSR practices towards a particular model of standardization by helping them create an organizational vision statement, a gap analysis, recommendations for improvement and a project implementation plan.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","MGMT8260","Business Analytics and Decision Making","Description: Analytics refers to the ways in which organizations use data to gain insights that lead to fact-based management that drive decisions and actions. Managers are currently faced with data that has high volume, variety, and velocity and the interpretation of this data has become an essential skill for business managers. The three major areas of business analytics explored in this course are reporting, visualization and prediction, all of which are key to sound business decisions under uncertainty. Students will utilize current analytics technologies to create reports, scorecards, and dashboards through guided exercises and case studies involving global companies. In addition, the topics of IoT (Internet of Things) and Big Data will also be explored.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","MGMT8425","Sustainable Development","Description: This course is designed to introduce students to the historical timeline of the Sustainable Development. Students learn communication,analytical, and critical thinking skills required to utilize green and sustainability language, to be agents of change in not-for-profit, nongovernmental organizations, business entrepreneurs, industry, and government. Students learn to communicate and advocate personal and corporate advantages of reducing one's ecological footprint in all sectors, while also considering the protocols, financial implications, and international constraints or differences that could impact a corporate sustainability strategy.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","MGMT8500","Accounting and Financial Management","Description: This course is designed to provide business managers with knowledge of Financial and Managerial Accounting required to support decision making. This course introduces business managers to quantitative and qualitative techniques and to communication strategies that enable reporting findings in an engaging and professional manner. Additionally, they are introduced to the essential functions including budgeting, the interpretation of financial information and the effective communication of operational and financial strategies.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","MKT8055","Sustainable Marketing and Consumerism","Description: This course focuses on the relationship between consumerism, marketing, and the environment. Most peoples' material needs are satisfied through sophisticated marketing systems; which means that marketing professionals carry enormous responsibility for creating a more sustainable future. Students in this course will examine their critical role in sustainable marketing and marketing sustainability. In addition to developing high-level research capabilities, students will examine the traditional 4Ps of Product, Price, Place and Promotion infused with principles of sustainability. Using this knowledge, students will be paired with host companies and to create sustainable marketing plans for products and services to improve triple bottom line outcomes. Focusing on a world renowned new product development system, students will be introduced to an integral part of creating sustainable products and services. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Sustainable Business Management  (Optional Co-op)","https://www.conestogac.on.ca//fulltime/sustainable-business-management","BUS8470","Sustainable Operations 2","Description: In this course students will develop, refine and build-on skills introduced in Sustainable Operations I while gaining a range of new skills learned through independent research, case studies and field work."
