"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8300","Technical Communications I","Description: This course will introduce students to fundamental skills required for successful technical communication. Students will differentiate between various technical communications genres and create technical documents that inform, persuade, and instruct. Emphasis will be placed on technical context, message, audience, and purpose.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8310","Document Design and Illustration","Description: In this course, students will develop knowledge and skills for designing and illustrating technical documents. They will study principles and theories of document design and illustration and apply them in a variety of technical communication situations. ."
"4","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8320","User Experience","Description: In this course, students will apply principles of user-centred communication and design to improve the usability of documents, products, and systems. They will perform user research, test usability, and analyze data to produce technical documentation that meets end-user needs and expectations. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8330","Authoring Tools in Technical Communications","Description: In this course, students will learn to use authoring tools in technical communication that are currently popular in leading industry. Students will apply this knowledge in different documentation projects.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8340","Editing and Publications in Technical Communications","Description: In this course, students will enhance knowledge of grammar, tone, and word choice to a publication standard. Students will learn to adapt writing to various styles and conventions while writing and editing documents to adhere to field-specific guidelines, levels of technicality, and levels of formality. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","MGMT8690","Major Project I","Description: Under faculty mentorship, student work teams will design a research-intensive technical communications project. Students will study and begin to apply principles of project management."
"8","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","PROG8530","Web Design and Applications","Description: In this course, students will learn the fundamentals of effective online technical communication. They will produce web-based documentation with software used across the technical communications industry. Students will build and manage websites with attention to user needs.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","CDEV8130","Career Management","Description: This course focuses on career management skills needed to navigate the evolving workplace. Students will evaluate their skills, attitudes, and expectations within their chosen careers and explore emerging trends in the workplace. Students will refine their networking strategies and create marketing documents to position them for success. Mock interviews will provide the opportunity for practice, feedback, and reflection as students prepare for future interviews. Students will explore communication strategies that support workplace success and advancement. By the end of this course, students will have created a personalized career management plan. Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8350","Technical Communications II","Description: In this course, students will apply skills obtained in level one courses to create larger technical documents for a variety of purposes and audiences. Students will enhance skills in collaboration on technical documentation and the oral presentation of technical material.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8360","Technical Training and Tutorials","Description: In this course, students will build on knowledge of UX to develop skills related to creating accessible teaching material. Such skills include choosing content based on needs analysis, structuring information, developing usability tests, and maximizing multiple formats and online platforms.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8370","Document Management and Production","Description: In this course, students will identify and apply practices of managing and producing technical documentation projects. Students will study project management principles and models, planned interactions, and document production for the digital age. They will apply their knowledge of authoring tools to the management of several complimentary forms of documentation in a project cycle.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","MGMT8700","Major Project II","Description: Building on the work completed in Major Project I, students will complete a research-intensive technical communications project that will form the basis of a professional portfolio to show prospective employers. Hours: 84Credits: 6Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","RSCH8070","Research and Information Design","Description: In this course, students will develop primary and secondary research skills necessary for technical communications. Students will also learn to organize complex information using a variety of modalities depending on purpose and audience. The delivery of this course may involve problem/project-based learning with the creation of final portfolio in collaboration with industry partners.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"16","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","Level 1","Level 1",NA
"17","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8300","Technical Communications I","Description: This course will introduce students to fundamental skills required for successful technical communication. Students will differentiate between various technical communications genres and create technical documents that inform, persuade, and instruct. Emphasis will be placed on technical context, message, audience, and purpose.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"18","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8310","Document Design and Illustration","Description: In this course, students will develop knowledge and skills for designing and illustrating technical documents. They will study principles and theories of document design and illustration and apply them in a variety of technical communication situations. ."
"19","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8320","User Experience","Description: In this course, students will apply principles of user-centred communication and design to improve the usability of documents, products, and systems. They will perform user research, test usability, and analyze data to produce technical documentation that meets end-user needs and expectations. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"20","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8330","Authoring Tools in Technical Communications","Description: In this course, students will learn to use authoring tools in technical communication that are currently popular in leading industry. Students will apply this knowledge in different documentation projects.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"21","Conestoga College Institute of Technology and Advanced Learning","Technical Communication (Optional Co-op)","https://www.conestogac.on.ca//fulltime/technical-communication","COMM8340","Editing and Publications in Technical Communications","Description: In this course, students will enhance knowledge of grammar, tone, and word choice to a publication standard. Students will learn to adapt writing to various styles and conventions while writing and editing documents to adhere to field-specific guidelines, levels of technicality, and levels of formality. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
