"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","CDEV1840","Career Discovery","Description: This course focuses on career exploration and decision making. Students will evaluate their interests, values, skills and abilities through assessment tools and explore the labour market to identify employment trends aligned to their strengths."
"3","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"5","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","MATH1740","Math Fundamentals","Description: This course will provide the student with learning tools that will help them to improve their basic arithmetic skills and also develop reasoning and problem solving skills. It is designed to help the student bridge existing gaps between their current preparation and college level math.Topics include: fractions, decimals, ratios and proportions, percent, metric/imperial system and an introduction to algebra and trigonometry.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","PHYS1190","Physics I - Mechanics","Description: This course will give students a basic understanding of mechanics."
"7","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","TECH1000","Introduction to Engineering Technology","Description: This course is the first in a sequence of two courses that will introduce the student to a variety of engineering technology/technician programs at Conestoga and the career opportunities associated with them."
"8","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","TECH1010","Technology Foundations Workshop I","Description: This course provides students with the opportunity to develop math and physics skills in a tutorial setting as a supplement to concurrent courses MATH1740 and PHYS1110."
"9","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","COMP1220","Computer Applications","Description: This introductory course will enable the learner to effectively use PC-based software."
"11","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","MATH1870","Math Fundamentals II","Description: This course is a continuation of Mathematics Fundamentals I (MATH1740)."
"12","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","PHYS1120","Physics II","Description: As a continuation of Physics I, this course will examine more topics in physics."
"13","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","TECH1020","Technology Foundations Workshop II","Description: This course provides students with the opportunity to develop math and physics skills in a tutorial setting as a supplement to concurrent courses MATH1870 and PHYS1120."
"14","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","TECH1400","Introduction to Technology II","Description: This course is a continuation of TECH1000 and will introduce the student to engineering technology programs at Conestoga and the career opportunities associated with them. These include the fields of mechanical, electrical/electronics, civil and architecture, IT and food processing technology. Opportunities in trades and apprenticeships will also be discussed."
"15","Conestoga College Institute of Technology and Advanced Learning","Technology Foundations","https://www.conestogac.on.ca/fulltime/technology-foundations","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
