"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","DRWG1410","Engineering Drawings/Layout Processes","Description: This course designed to introduce the student to the skills necessary to read shop-related blueprints."
"3","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MACH1060","Applied Trade Practices And Procedures","Description: This course provides the apprentice with"
"4","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MACH1290","Trade Theory","Description: This course provides the student with a theoretical background to ensure"
"5","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MATH1270","Applied Trade Calculations, Charts and Tables","Description: This course enables the apprentice to employ the terminology and concepts necessary for machine shop applications of basic algebra, algebraic equations, powers and roots, ratios and proportion."
"6","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","Level 2","Level 2",NA
"7","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","DRWG2080","Engineering Drawings","Description: Upon successful completion of this course, the student will be able to use engineering drawing symbols, aligned views, tolerances and thread designations."
"8","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MACH2100","Trade Theory","Description: This course provides the student with a theoretical background of specialized machines and accessories for tool-making; Jig & Fixture type and classification; the cutting process, cutting tool materials, tool life and surface texture; engineering materials, their machining characteristics and the standard designation systems; technical data; drilling, reaming, boring, tapers, screw threads on engine lathes; form and combined surface cutting tools on milling machines; use a dividing head, and surface and cylindrical grinding techniques on grinding machines."
"9","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MACH2110","Applied Trade Practices and Procedures","Description: This course provides the student with a practical application of specialized machines and accessories for tool-making; Jig & Fixture type and classification; the cutting process, cutting tool materials, tool life and surface texture; engineering materials, their machining characteristics and the standard designation systems; technical data; drilling, reaming, boring, tapers, screw threads on engine lathes; form and combined surface cutting tools on milling machines; use a dividing head; surface and cylindrical grinding techniques on grinding machines and enter programs for NC/CNC machine systems or simulators. Hours: 96Credits: 7Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MATH2210","Applied Trade Calculations","Description: Successful completion of this course, will enable the student to recognize and use fundamental principles of geometric measurement to solve shop-related problems involving circles, tangents, triangles and polygons. In addition, the student will be able to construct geometric figures common to shop related problems, employ basic principles of trigonometry and make the calculations necessary to use a sine bar and sine plate.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","Level 3","Level 3",NA
"12","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","DRWG3060","Complex Engineering Drawings","Description: Upon successful completion of this course, the student will be able to interpret auxiliary views and geometric tolerances and apply the system of limits and fits to press die tooling and workpieces as specified on tooling or engineering drawings.Hours: 30Credits: 2Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MACH3080","Trade Theory","Description: This course provides the student with a theoretical background of the techniques of: turning profiles on an engine lathe; using the dividing head, and specialized cutting tools on a milling machine; press tool component grinding on grinding machines; layout operations on press die workpieces; metal working and press tool construction; heat treatment and the prevention of damage to heat treatable workpieces and the set up, manual and automatic control of NC/CNC machine tools or simulator. Hours: 89Credits: 6Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MACH3090","Applied Trade Practices And Procedures","Description: This course provides the student with a practical application of the techniques of: turning profiles on an engine lathe; using the dividing head, and specialized cutting tools on a milling machine; press tool component grinding on grinding machines; layout operations on press die workpieces; metal working and press tool construction; heat treatment and the prevention of damage to heat treatable workpieces and the set up, manual and automatic control of NC/CNC machine tools or simulator. Hours: 91Credits: 6Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Tool And Die Maker (Apprenticeship)","https://www.conestogac.on.ca/fulltime/tool-and-die-maker-apprenticeship","MATH3120","Applied Trade Calculations","Description: Successful completion of this course will enable the student to solve machine shop problems using the law of sines, the law of cosines, and the law of cotangents."
