"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK1010","Trade Practices","Description: Demonstrate a basic working knowledge of recommended trade work practices; construction, operating principles, testing and servicing of tools and equipment, bearings, seals and sealants, fasteners, precision measuring equipment, personal safety and legalities, setup and safety for oxy-acetylene cutting and heating.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK1020","Fluid Power Systems","Description: Demonstrate a basic knowledge of fluid power fundamentals, components, graphic symbols and principles of operation. Demonstrate a basic knowledge of fluids, filters, conductors and connectors and setting up a proper maintenance schedule.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK1030","Engine Systems","Description: Demonstrate a basic knowledge of the construction, engine types and components, operating principles, testing and servicing of diesel combustion engine assemblies, cylinder heads and valve trains, lubrication systems, cooling systems, intake and exhaust systems.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK1040","Electrical Systems","Description: Demonstrate a basic working knowledge of the principles of electrical theory and laws, and use of electrical test equipment. Demonstrate an ability to trace, test and repair electrical circuits and components. Demonstrate a basic knowledge of electromagnetic devices and test and service batteries.Hours: 49Credits: 3Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK1050","Fuel Systems","Description: Demonstrate a basic knowledge of diesel fuel systems, injection principles, injection sub-systems and hydraulic injection systems.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK1060","Drive Train Systems","Description: Demonstrate a basic knowledge of the construction, operating principles; testing and servicing of power train clutch assemblies, gearing fundamentals, countershaft manual transmissions, driveshafts, PTO's, universal joints and single drive axle assemblies.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK1075","Wheel End Assemblies and Brake Systems","Description: Demonstrate a basic working knowledge of the construction, operating principles, testing and servicing of hydraulic brake and air brake systems, and wheel end assemblies.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK2010","Trade Practices and Auxiliary Systems","Description: Demonstrate a working knowledge of arc and GMAW and GTAW welding, information systems and shop communication, cabs and control systems, tractor-trailer and articulating coach configurations.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"11","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK2025","Engine Systems","Description: Demonstrate a working knowledge of the purpose, construction, repair and principles for cylinder heads and valve trains, diesel engine blocks, and gasoline and alternate fuel engine operation, testing, diagnostics and repair.Hours: 35Credits: 2Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK2035","Electrical Systems","Description: Demonstrate a working knowledge of electrical definitions and fundamentals of applied test equipment; the construction, operating principles, testing and servicing of the following: heavy duty batteries, heavy duty cranking systems, heavy duty electrical circuit schematics, auxiliary electrical components and electronic fundamentals.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"13","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK2045","Fuel Systems","Description: In this course, students will demonstrate a basic knowledge of diesel fuel injection helix metering, electronic unit Injector (EUI) systems, engine governors, gasoline and alternate fuel injection systems.Hours: 21Credits: 2Pre-Requisites: CoRequisites:"
"14","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK2050","Drive Trains","Description: Demonstrate a working knowledge of the construction, operating principles, testing and servicing of pull-type clutches and flywheels, mutiple coutershaft transmissions, multi-speed and double reduction drive axles, and power divided tandem axles. Also demonstrate a knowledge of electronic automated standard transmissions.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK2060","Steering, Suspension and Brake Systems","Description: Demonstrate a working knowledge of the construction, operating principles, testing and servicing of"
"16","Conestoga College Institute of Technology and Advanced Learning","Truck and Coach Technician (Apprenticeship)","https://www.conestogac.on.ca/fulltime/truck-and-coach-technician-apprenticeship","TRCK2070","Vehicle Electronic Management and Emission Systems","Description: Demonstrate a working knowledge of electronic service tools, vehicle computer fundamentals and electronic input circuit components.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
