"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","ARTS1435","Concept to Completion","Description: This course will provide students with the theories associated with idea development and to establish solid design strategies from concept to completion."
"3","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"4","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","COMP1125","Creative Technologies I","Description: This practical and creative computer lab course will develop the student's computer skills to an intermediate level. This course will introduce students to industry specific software, which will be explored as a tool for creative communication and expression. Upon course completion, students will be able to navigate through the programs with confidence, creating project-based assignments in a variety of different applications and outputs.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"6","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","DSGN1350","Visual Merchandising I","Description: This is the cornerstone course of the program that allows students the opportunity to develop and demonstrate the skills and knowledge associated with design and staging across all areas of merchandising."
"7","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","DSGN1490","Introduction to Design","Description: This course will provide students with experience in both two dimensional and three dimensional design."
"8","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","OHS1320","Safety in the Workplace","Description: This course focuses on developing awareness and skills for the student to safely manage and conduct him or herself within a variety of employment settings. Through the units of the course, participants will have the opportunity to enhance their understanding and knowledge of general Health and Safety guidelines, including WHMIS, Fire Safety and Workplace Violence. The unit on Accessibility for Ontarians with Disabilities Act will instruct the student on the requirements for Accessible Customer Service and Integrated Accessibility Standard Regulations. General information on Safe Driving, Privacy of Information and Hand Washing will be addressed as well. The course also provides participants with critical information regarding their insurance coverage (WSIB or other) while employed. As well as guidelines to follow in the event of an injury. Participants will receive a printable Record of Completion upon successful conclusion of this course, in order to demonstrate awareness of safe working practices to their employers.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"10","Conestoga College Institute of Technology and Advanced Learning","Visual Merchandising Arts","https://www.conestogac.on.ca/fulltime/visual-merchandising-arts","Level 2","Level 2",NA
