"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","DRWG1700","Engineering Drawings I","Description: This course will develop interpretation skills for metal fabrication drawings developed using orthographic projection methods."
"3","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD1270","Semi-Automatic Welding Processes I","Description: This course will develop basic welding skills with the Gas Metal Arc Welding (GMAW) (commonly referred to as ""MIG"" welding) and Flux Cored Arc Welding (FCAW) (commonly referred to as flux cored welding) processes."
"4","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD1280","Shielded Metal Arc Welding I","Description: This course will develop basic welding skills with the Shielded Metal Arc Welding (SMAW) process, commonly referred to as ""stick"" welding."
"5","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD1290","Thermal Cutting","Description: Application and set-up of thermal cutting processes used for the cutting, piercing, bevelling and gouging of various metals will be studied in this course."
"6","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD1300","Trade Practices","Description: The first topic in this course reviews safety topics including potential workplace hazards, precautions and personal protective equipment and safety legislation."
"7","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD1310","Welding & Fabrication Quality I","Description: Welding quality will be studied from a perspective of defect identification and reviewing cause, effect and corrective actions for various defects."
"8","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD1320","Welding Theory I","Description: The major welding processes will be studied in this course with emphasis on learning the effect, set-up and control of the main welding variables."
"9","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","Level 2","Level 2",NA
"10","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","DRWG2120","Engineering Drawings II","Description: This course will further develop interpretation and drawing skills from Engineering Drawings I with detail drawings for structural steel, platework, pressure vessels and piping."
"11","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD2270","Gas Tungsten Arc Welding I","Description: This course will develop basic welding skills with the GTAW process, commonly referred to as ""TIG"" welding."
"12","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD2280","Semi-Automatic Welding Processes II","Description: This course will further develop GMAW and FCAW skills with additional practice making fillet and groove welds in flat, horizontal and vertical positions."
"13","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD2290","Shielded Metal Arc Welding II","Description: This course will further develop SMAW skills with additional practice making fillet and groove welds in all positions."
"14","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD2300","Welding Theory II","Description: The application and set-up for the oxy-fuel gas brazing process will be reviewed with emphasis on safe equipment operation."
"15","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","Level 3","Level 3",NA
"16","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD3000","Welding Theory III","Description: This theoretical course will introduce the principles and applications of the major welding processes, including gas metal arc welding (GMAW), flux cored arc welding (FCAW) and gas tungsten arc welding (GTAW). Submerged arc welding (SAW) including filler metals and flux systems will also be discussedHours: 36Credits: 3Pre-Requisites: CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD3010","Metal Fabrication Applications","Description:"
"18","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD3115","Automatic Welding","Description: This course will further develop applied GMAW skills with the pulsed arc mode of this process (GMAW-P). Additional practice will be gained with the Metal Cored Arc Welding (MCAW) variation of this process. Applications"
"19","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD3125","Gas Tungsten Arc Welding II","Description: This course will further develop GTAW skills with additional practice making fillet and groove welds in all positions on steel plate and pipe assemblies. Additional skills will be developed using the GTAW process and aluminium fillet and groove welds as well as a review of the similar Plasma Arc Welding (PAW) process.Hours: 18Credits: 1Pre-Requisites: CoRequisites:"
"20","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD3135","Metal Fabrication Theory","Description:"
"21","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD3140","Shielded Metal Arc Welding III","Description: Additional SMAW skills will be developed for both plate and pipe applications in all positions with both mild and stainless steel electrodes."
"22","Conestoga College Institute of Technology and Advanced Learning","Welder (Apprenticeship)","https://www.conestogac.on.ca/fulltime/welder-apprenticeship","WELD3150","Welding & Fabrication Quality II","Description: The first topic in this course reviews advanced metallurgy topics including the application of an iron-carbon equilibrium diagram to understand how steels react to heat and the weldability of different metal types."
