"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","COMP1723","Computer Applications","Description: This introductory course will enable the students to effectively use PC-based software used in industry and the Learning Management System (LMS) at Conestoga College."
"3","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","DRWG1497","Engineering Drawing Interpretation","Description: This course is designed to introduce the student to the basic principles and concepts of technical drawings. Emphasis will be placed on basic drafting in orthographic projections, sections, dimensioning and tolerancing, notes, specifications, and welding symbols to prepare the student for the interpretation of welded fabrication engineering drawings.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"5","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","MATH1455","Trade Calculations I","Description: This course is an applications oriented mathematics course in which the student utilizes basic mathematical operations including addition, subtraction, multiplication and division of whole numbers, decimals and fractions. In addition, students will use both the imperial and System International when solving problems in linear measurement, area, volume and mass."
"6","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","WELD1360","Welding Process Theory I","Description: This theoretical course will begin with an introduction to welding, health and safety issues, welding history and applications."
"7","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","WELD1645","Shielded Metal Arc Welding I","Description: This course will develop basic welding skills with the Shielded Metal Arc Welding (SMAW) process, commonly referred to as ""stick"" welding. Techniques will be developed for producing fillet welds in all welding positions while groove welds will be produced in the flat, horizontal and vertical positions with a variety of electrode types.Hours: 56Credits: 4Pre-Requisites: CoRequisites:"
"8","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","WELD1655","Semi-Automatic Welding I","Description: This course will develop basic welding skills with the Gas Metal Arc Welding (GMAW) process (commonly referred to as ""MIG"" welding). Techniques will be developed for producing fillet welds in all welding positions while groove welds will be produced in the flat, horizontal and vertical positions.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"9","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","WELD1660","Thermal Cutting and Brazing","Description: In this course, the student will be introduced to the safe set-up and use of thermal cutting processes for the cutting, piercing, beveling and gouging of various metals. Theoretical study and hands-on practice will stress safety and quality using oxy-fuel cutting, welding and brazing, plasma arc cutting, and air-carbon arc cutting and gouging processes.Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"10","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Welding Techniques","https://www.conestogac.on.ca/fulltime/welding-techniques","DRWG1855","CAD for Fabrication Technology","Description: In this course the student will be introduced to computer-aided drafting (CAD) and create piece part and assembly drawings of welded fabrications."
