"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","DRWG1097","Drafting And Blueprint Reading","Description: Drafting is the visual language of designers, craftsmen, engineers and architects. This course is designed to provide students with an introduction to drafting fundamentals from free-hand sketching to 2-Dimensional computer-aided-design (CAD)."
"5","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","MATH1227","Numerical Woodworking Applications","Description: This course will provide the student with the ability to apply numeracy to wood machining fundamentals and principles.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","MATR1030","Materials","Description: In this course students will study the structure and characteristics of wood, wood identification and the different methods used to cut and match veneers. The students will select the following materials according to usage: lumber, veneers, particleboards, fibreboards, plywoods, plastic laminates, abrasives, adhesives and preservatives. The student will also study material standard sizes and grades, as well as distinctive characteristics and comparative costs.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","WOOD1010","Woodworking Techniques I","Description: This course provides students with the basics of machine set up, operation procedures, and the key principles of wood machining; the basis for operations performed in the workshop."
"8","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","WOOD1027","Machining Practice I","Description: This course provides students with a working knowledge of machining practice."
"9","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","WOOD1047","Finishing I","Description: This"
"10","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","COMP1250","Computer Drafting","Description: In this course students will apply the fundamentals of three dimensional solid modeling using CAD software. This course is designed to equip the student with a basic level of skill in creating 3-D woodworking parts, assembly models and drawings, which will be used in future product design courses.Hours: 28Credits: 2Pre-Requisites: DRWG1097CoRequisites:"
"12","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","DSGN1025","Product Engineering","Description: Product engineering is the information hub of any woodworking business. In this course we will examine the process of effectively engineering woodworking products."
"13","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","MACH1020","CNC (Woodworking)","Description: This course is a basic introduction to the fundamentals of computer numerical control for woodworking."
"14","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","WOOD1050","Woodworking Techniques II","Description: In this course students will explore woodworking techniques including machine set-up and operating procedures for processing solid wood and veneered panels; in addition to the machining of man-made boards and the current state of the art of cutting tools. Machine maintenance including motor and spindle speeds, drive systems, bearings and lubricants are also reviewed.Hours: 28Credits: 2Pre-Requisites: WOOD1010CoRequisites:"
"15","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","WOOD1077","Finishing II","Description: In this course,students will examine the principles of colour control and the theory of colour and light as they relate to the furniture industry. Theoretical concepts of HVLP and air-assisted airless spray equipment will be discussed"
"16","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","WOOD1085","Machining Practice II","Description: In this course, students learn to set up, operate and maintain safely and effectively a wide range of production machinery and equipment to produce a major furniture project as a team unit. Students work from technical drawings and route sheets to meet the design specifications of the project. Shop areas covered include: breakout, veneering, machining, assembly and finishing.Hours: 112Credits: 6Pre-Requisites: WOOD1025 or WOOD1027CoRequisites:"
"17","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","Electives: General Education
      
      Student must complete a minimum of 42 Hours","Electives: General Education","Student must complete a minimum of 42 Hours"
"18","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","Level 3","Level 3",NA
"19","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technician","https://www.conestogac.on.ca/fulltime/woodworking-technician","DRWG2112","Product Design And Development","Description: Product design and development is fundamental to the success of every business. This course introduces the students to the product development process from the original designer's sketch to the completed sample, with the emphasis on a basic overview of the process involved. Topics will include the selection and use of wood components and hardware , the relationship between target product cost and the choice of materials and construction methods. The major assignment will be the preparation of a complete set of production documents using solid modelling and spreadsheets for the personal project the student will build in the final semester of their second year.Hours: 42Credits: 2Pre-Requisites: DSGN1020 or DSGN1025, COMP1250CoRequisites:"
