"","Institution","Program","Program_url","Code","Name","Description"
"1","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","Level 1","Level 1",NA
"2","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","COMM1085","College Reading & Writing Skills","Description: This course focuses on the reading, writing and critical thinking skills needed for academic and workplace success. Students will analyse, summarize, and discuss a variety of readings and apply the steps of planning, writing, and revising in response to written prompts. This course prepares students for post-secondary writing tasks, research, and documentation. Hours: 42Credits: 3Pre-Requisites: CoRequisites:"
"3","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","CON0101","Conestoga 101","Description: This self-directed course focuses on introducing new students to the supports, services, and opportunities available at Conestoga College. By the end of this course, students will understand the academic expectations of the Conestoga learning environment, as well as the supports available to ensure their academic success. Students will also be able to identify on-campus services that support their health and wellness, and explore ways to get actively involved in the Conestoga community through co-curricular learning opportunities."
"4","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","DRWG1097","Drafting And Blueprint Reading","Description: Drafting is the visual language of designers, craftsmen, engineers and architects. This course is designed to provide students with an introduction to drafting fundamentals from free-hand sketching to 2-Dimensional computer-aided-design (CAD)."
"5","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","MATH1227","Numerical Woodworking Applications","Description: This course will provide the student with the ability to apply numeracy to wood machining fundamentals and principles.Hours: 14Credits: 1Pre-Requisites: CoRequisites:"
"6","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","MATR1030","Materials","Description: In this course students will study the structure and characteristics of wood, wood identification and the different methods used to cut and match veneers. The students will select the following materials according to usage: lumber, veneers, particleboards, fibreboards, plywoods, plastic laminates, abrasives, adhesives and preservatives. The student will also study material standard sizes and grades, as well as distinctive characteristics and comparative costs.Hours: 28Credits: 2Pre-Requisites: CoRequisites:"
"7","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","WOOD1010","Woodworking Techniques I","Description: This course provides students with the basics of machine set up, operation procedures, and the key principles of wood machining; the basis for operations performed in the workshop."
"8","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","WOOD1027","Machining Practice I","Description: This course provides students with a working knowledge of machining practice."
"9","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","WOOD1047","Finishing I","Description: This"
"10","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","Level 2","Level 2",NA
"11","Conestoga College Institute of Technology and Advanced Learning","Woodworking Technology (Optional Co-op)","https://www.conestogac.on.ca/fulltime/woodworking-technology","COMP1250","Computer Drafting","Description: In this course students will apply the fundamentals of three dimensional solid modeling using CAD software. This course is designed to equip the student with a basic level of skill in creating 3-D woodworking parts, assembly models and drawings, which will be used in future product design courses.Hours: 28Credits: 2Pre-Requisites: DRWG1097CoRequisites:"
